Disease	MyCancerGenome Gene category	genes	Entrez gene name	Gene ID	Drug name	pubchem drug name	pubchem drug id	Other drug names	clinical trial ID	indication of drug-gene interaction	Interaction type
Lung cancer	FGFR1	VEGFR	FLT4	2324	Lucitanib	1058137-23-7	25031915	E-3810	NCT01283945	Purpose: Lucitanib is a novel dual-targeted small molecule inhibitor of VEGFR1, 2, 3 and FGFR1. %Official title: Study to Determine the Maximum Tolerated Dose, Recommended Dose, Efficacy, Pharmacokinetics and Pharmacodynamics of the Dual VEGFR-FGFR Tyrosine Kinase Inhibitor, E-3810.	inhibitor
Lung cancer	FGFR1	B7-h3	N/A	N/A	MGA271	N/A	N/A	N/A	NCT01391143	Detailed description: study will be conducted to define the toxicity profile, maximum tolerated dose (MTD), pharmacokinetics (PK), immunogenicity, and potential antitumor activity of MGA271 in patients with refractory cancer that expresses B7-H3.	inhibitor
Lung cancer	FGFR1	mTOR	mTOR	2475	Everolimus	Everolimus	6442177	N/A	NCT01596140	Official title: mTOR Inhibitor, Everolimus (Afinitor) or Temsirolimus (Torisel)	inhibitor
Lung cancer	FGFR1	mTOR	mTOR	2475	Temsirolimus	Temsirolimus	23724530	N/A	NCT01596140	Official title: mTOR Inhibitor, Everolimus (Afinitor) or Temsirolimus (Torisel)	inhibitor
Lung cancer	FGFR1	BRAF	BRAF	673	Vemurafenib	Vemurafenib	42611257	N/A	NCT01596140	Purpose: Vemurafenib is designed to block BRAF. %Official title:  BRAF Inhibitor Vemurafenib. 	inhibitor
Lung cancer	FGFR1	mTOR	mTOR	2475	SAR245409	N/A	N/A	N/A	NCT01596270	N/A	inhibitor
Lung cancer	FGFR1	PI3K	PIK3CA	5290	SAR245409	N/A	N/A	N/A	NCT01596270	Exclusion criteria: Intolerance of prior treatment with a PI3K inhibitor.	inhibitor
Lung cancer	FGFR1	PI3K	PIK3CB	5291	SAR245409	N/A	N/A	N/A	NCT01596270	Exclusion criteria: Intolerance of prior treatment with a PI3K inhibitor.	inhibitor
Lung cancer	FGFR1	PI3K	PIK3CG	5294	SAR245409	N/A	N/A	N/A	NCT01596270	Exclusion criteria: Intolerance of prior treatment with a PI3K inhibitor.	inhibitor
Lung cancer	FGFR1	PI3K	PIK3CD	5293	SAR245409	N/A	N/A	N/A	NCT01596270	Exclusion criteria: Intolerance of prior treatment with a PI3K inhibitor.	inhibitor
Lung cancer	FGFR1	PI3K	PIK3R1	5295	SAR245409	N/A	N/A	N/A	NCT01596270	Exclusion criteria: Intolerance of prior treatment with a PI3K inhibitor.	inhibitor
Lung cancer	FGFR1	PI3K	PIK3R2	5296	SAR245409	N/A	N/A	N/A	NCT01596270	Exclusion criteria: Intolerance of prior treatment with a PI3K inhibitor.	inhibitor
Lung cancer	FGFR1	PI3K	PIK3R3	8503	SAR245409	N/A	N/A	N/A	NCT01596270	Exclusion criteria: Intolerance of prior treatment with a PI3K inhibitor.	inhibitor
Lung cancer	FGFR1	PI3K	PIK3R4	30849	SAR245409	N/A	N/A	N/A	NCT01596270	Exclusion criteria: Intolerance of prior treatment with a PI3K inhibitor.	inhibitor
Lung cancer	FGFR1	PI3K	PIK3R5	23533	SAR245409	N/A	N/A	N/A	NCT01596270	Exclusion criteria: Intolerance of prior treatment with a PI3K inhibitor.	inhibitor
Lung cancer	FGFR1	PI3K	PIK3R6	146850	SAR245409	N/A	N/A	N/A	NCT01596270	Exclusion criteria: Intolerance of prior treatment with a PI3K inhibitor.	inhibitor
Lung cancer	FGFR1	FGFR1	FGFR1	2260	JNJ-42756493	N/A	N/A	N/A	NCT01703481	Purpose: JNJ-42756493, a pan-fibroblast growth factor receptor (FGFR) tyrosine kinase inhibitor. %Official title: JNJ-42756493, a Pan-Fibroblast Growth Factor Receptor (FGFR) Tyrosine Kinase Inhibitor.%Inclusion criteria: participants must have tumors that are K-ras wild-type and also express FGFR 1, 2, or 4 gene amplifications.	inhibitor
Lung cancer	FGFR1	FGFR2	FGFR2	2263	JNJ-42756493	N/A	N/A	N/A	NCT01703481	Purpose: JNJ-42756493, a pan-fibroblast growth factor receptor (FGFR) tyrosine kinase inhibitor. %Official title: JNJ-42756493, a Pan-Fibroblast Growth Factor Receptor (FGFR) Tyrosine Kinase Inhibitor.%Inclusion criteria: participants must have tumors that are K-ras wild-type and also express FGFR 1, 2, or 4 gene amplifications.	inhibitor
Lung cancer	FGFR1	FGFR3	FGFR3	2261	JNJ-42756493	N/A	N/A	N/A	NCT01703481	Purpose: JNJ-42756493, a pan-fibroblast growth factor receptor (FGFR) tyrosine kinase inhibitor. %Official title: JNJ-42756493, a Pan-Fibroblast Growth Factor Receptor (FGFR) Tyrosine Kinase Inhibitor.%Inclusion criteria: participants must have tumors that are K-ras wild-type and also express FGFR 1, 2, or 4 gene amplifications.	inhibitor
Lung cancer	FGFR1	FGFR4	FGFR4	2264	JNJ-42756493	N/A	N/A	N/A	NCT01703481	Purpose: JNJ-42756493, a pan-fibroblast growth factor receptor (FGFR) tyrosine kinase inhibitor. %Official title: JNJ-42756493, a Pan-Fibroblast Growth Factor Receptor (FGFR) Tyrosine Kinase Inhibitor.%Inclusion criteria: participants must have tumors that are K-ras wild-type and also express FGFR 1, 2, or 4 gene amplifications.	inhibitor
Lung cancer	FGFR1	FGFR1	FGFR1	2260	AZD4547	AZD4547	51039095	N/A	NCT01795768	Purpose: FGFR inhibitor AZD4547 in patients with FGFR1 or FGFR2 amplified breast, squamous lung and stomach cancer. %Official title: AZD4547 in Patients With FGFR1 or FGFR2 Amplified Tumours. %Inclusion criteria: confirmation of FGFR gene amplification.	inhibitor
Lung cancer	FGFR1	FGFR2	FGFR2	2263	AZD4547	AZD4547	51039095	N/A	NCT01795768	Purpose: FGFR inhibitor AZD4547 in patients with FGFR1 or FGFR2 amplified breast, squamous lung and stomach cancer. %Official title: AZD4547 in Patients With FGFR1 or FGFR2 Amplified Tumours. %Inclusion criteria: confirmation of FGFR gene amplification.	inhibitor
Lung cancer	Her2	N/A	N/A	N/A	bortezomib	Bortezomib	387447	N/A	NCT00118144	N/A	inhibitor
Lung cancer	Her2	N/A	N/A	N/A	Lapatinib	lapatinib ditosylate	9941095	lapatinib ditosylate	NCT00313599	N/A	inhibitor
Lung cancer	Her2	COX	N/A	N/A	celecoxib	Celecoxib	2662	N/A	NCT00520845	Detailed description: determine the efficacy of celecoxib when administered with standard chemotherapy comprising docetaxel or pemetrexed disodium in patients with advanced, recurrent non-small cell lung cancer (NSCLC) exhibiting cyclooxygenase (COX) dependence. %Eligibility criteria: Cytologically or histologically confirmed COX dependent non-small cell lung cancer.	inhibitor
Lung cancer	Her2	PARP2	PARP2	10038	ABT-888	Veliparib	11960529	N/A	NCT00740805	Purpose: ABT-888 may stop the growth of cancer cells by blocking some of the enzymes needed for cell growth.	inhibitor
Lung cancer	Her2	N/A	N/A	N/A	Abraxane	TAXOL	36314	N/A	NCT00748553	N/A	inhibitor
Lung cancer	Her2	Her2	ERBB2	2064	TGFBeta resistant HER2/EBV-CTLs	N/A	N/A	N/A	NCT00889954	Purpose: The antibody used in this study is called anti-HER2 (Human Epidermal Growth Factor Receptor 2). %Inclusion criteria: Diagnosis of advanced stage* or metastatic HER2-positive cancer.	inhibitor
Lung cancer	Her2	N/A	N/A	N/A	veliparib	Veliparib	11960529	N/A	NCT00892736	N/A	inhibitor
Lung cancer	Her2	Her2	ERBB2	2064	Lapatinib	lapatinib ditosylate	9941095	lapatinib ditosylate	NCT00984425	Purpose:  Lapatinib is an oral selective and reversible inhibitor of the tyrosine kinase domain of epidermal growth factor receptor (EGFR) and human epidermal growth factor receptor type 2 (HER-2). 	inhibitor
Lung cancer	Her2	Hsp90	HSP90AB1	3326	AUY922A	N/A	N/A	N/A	NCT01024283	Official title: Administration of the Heat Shock Protein 90 Inhibitor AUY922A	inhibitor
Lung cancer	Her2	N/A	N/A	N/A	Pazopanib 	pazopanib	10113978	GW786034	NCT01049776	N/A	inhibitor
Lung cancer	Her2	N/A	N/A	N/A	Lapatinib	lapatinib ditosylate	9941095	lapatinib ditosylate	NCT01087983	N/A	inhibitor
Lung cancer	Her2	histone deacetylase	N/A	N/A	Vorinostat	Vorinostat	5311	N/A	NCT01118975	Exclusion criteria: Prior exposure to lapatinib, vorinostat, or other Histone deacetylase (HDAC) inhibitors	inhibitor
Lung cancer	Her2	N/A	N/A	N/A	F16IL2	N/A	N/A	N/A	NCT01134250	N/A	inhibitor
Lung cancer	Her2	Her2	ERBB2	2064	MGAH22	N/A	N/A	N/A	NCT01148849	Purpose:  to determine if MGAH22 is safe when given by intravenous (IV) infusion to patients with HER2-positive cancer. %Official title: Study of MGAH22 in Patients With Refractory HER2 Positive Breast Cancer and Patients With Other HER2 Positive Carcinomas. %Detailed description: potential antitumor activity of MGAH22 in patients with refractory HER2 positive breast cancer and patients with other carcinomas that overexpress HER2. %Inclusion criteria: Histologically or cytologically confirmed carcinoma that overexpresses HER2.	inhibitor
Lung cancer	Her2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	NCT01165385	N/A	inhibitor
Lung cancer	Her2	gamma secretase	N/A	N/A	RO4929097	RO4929097	49867930	N/A	NCT01217411	Purpose: gamma-secretase/Notch signalling pathway inhibitor RO4929097. 	inhibitor
Lung cancer	Her2	PIK3CA	PIK3CA	5290	BYL719	BYL719	56649450	N/A	NCT01219699	Purpose: Advanced Solid Tumors With an Alteration of the PIK3CA Gene. 	inhibitor
Lung cancer	Her2	Akt	Akt1	207	MK2206	MK2206	46930998	N/A	NCT01245205	Purpose: Akt inhibitor MK2206	inhibitor
Lung cancer	Her2	Akt	Akt2	208	MK2206	MK2206	46930998	N/A	NCT01245205	Purpose: Akt inhibitor MK2206	inhibitor
Lung cancer	Her2	Akt	Akt3	10000	MK2206	MK2206	46930998	N/A	NCT01245205	Purpose: Akt inhibitor MK2206	inhibitor
Lung cancer	Her2	N/A	N/A	N/A	cilengitide	cilengitide	176873	N/A	NCT01276496	N/A	inhibitor
Lung cancer	Her2	N/A	N/A	N/A	veliparib	Veliparib	11960529	N/A	NCT01281150	N/A	inhibitor
Lung cancer	Her2	Her2	ERBB2	2064	MM-111	N/A	N/A	N/A	NCT01304784	Official title: MM-111 in Combination With Multiple Treatment Regimens in Patients With Advanced HER2 Positive Solid Tumors.	inhibitor
Lung cancer	Akt1	PDGFRA	PDGFRA	5156	Sunitinib	Sunitinib	5329102	N/A	NCT01306045	Purpose: KIT or PDGFRA gene mutations will receive a drug called sunitinib, which inhibits some proteins that are thought to be key factors in the development and progression of some cancers, including kidney cancer.	inhibitor
Lung cancer	Her2	Kit	KIT	3815	Sunitinib	Sunitinib	5329102	N/A	NCT01306045	Purpose: KIT or PDGFRA gene mutations will receive a drug called sunitinib, which inhibits some proteins that are thought to be key factors in the development and progression of some cancers, including kidney cancer.	inhibitor
Lung cancer	Her2	N/A	N/A	N/A	BBI608	N/A	N/A	N/A	NCT01325441	N/A	inhibitor
Lung cancer	Her2	N/A	N/A	N/A	TRC105	N/A	N/A	N/A	NCT01326481	N/A	inhibitor
Lung cancer	Her2	N/A	N/A	N/A	Endostar	N/A	N/A	N/A	NCT01327235	N/A	inhibitor
Lung cancer	Her2	N/A	N/A	N/A	Endostar	N/A	N/A	N/A	NCT01328054	N/A	inhibitor
Lung cancer	Her2	Akt	Akt1	207	GDC-0068	GDC-0068	24788740	N/A	NCT01362374	N/A	inhibitor
Lung cancer	Her2	Akt	Akt2	208	GDC-0068	GDC-0068	24788740	N/A	NCT01362374	N/A	inhibitor
Lung cancer	Her2	Akt	Akt3	10000	GDC-0068	GDC-0068	24788740	N/A	NCT01362374	N/A	inhibitor
Lung cancer	Her2	Her2	ERBB2	2064	HER-2 vaccine	N/A	N/A	N/A	NCT01376505	Purpose: Human Epidermal Growth Factor Receptor 2 (HER-2) B Cell Peptide Vaccine. 	inhibitor
Lung cancer	Her2	IL2	IL2	3558	TG4010	N/A	N/A	N/A	NCT01383148	Purpose: TG4010 is a suspension of recombinant Modified Vaccinia virus strain Ankara (MVA strain) carrying coding sequences for human MUC1 antigen and human interleukin-2 (IL2). 	inhibitor
Lung cancer	Her2	Her2	ERBB2	2064	2B3-101	N/A	N/A	N/A	NCT01386580	Purpose: study will explore the preliminary antitumor activity of 2B3-101 as single agent in patients with with solid tumors and brain metastases or recurrent malignant glioma as well as in patients with various forms of breast cancer with and in combination with trastuzumab in HER2+ breast cancer patients with brain metastases. %Inclusion criteria: Patients with histologically-confirmed HER2-positive.	inhibitor
Lung cancer	Her2	c-Kit	KIT	3815	pazopanib	pazopanib	10113978	N/A	NCT01407562	N/A	inhibitor
Lung cancer	Her2	Her2	ERBB2	2064	TrasGEX	N/A	N/A	N/A	NCT01409343	Purpose:  study evaluating the safety, tolerability and pharmacokinetics of TrasGEX after intravenous administration in patients with HER-2 positive cancers. %Official title: Study of TrasGEX in Patients With Locally Advanced or Metastatic HER-2-positive Cancer. %Criteria: ERBB2 (HER-2) gene amplification or ERBB2 overexpression. 	inhibitor
Lung cancer	Her2	PTEN	PTEN	5728	GSK2636771	1372540-25-4	56949517	N/A	NCT01458067	Inclusion criteria: Subjects must have tumors with a documented PTEN deficiency. 	inhibitor
Lung cancer	Her2	EGFR	EGFR	1956	Dacomitinib	Dacomitinib	11511120	PF-00299804	NCT01465802	Purpose: To assess the impact of an interrupted dacomitinib dosing schedule in Cycle 1 on the incidence of adverse events in first-line advanced NSCLC patients with an EGFR mutation. %Exclusion criteria: rior treatment with an EGFR-targeted or HER-targeted agent.	inhibitor
Lung cancer	Her2	EGFR	EGFR	1956	Dacomitinib	Dacomitinib	11511120	PF-00299804	NCT01465802	Purpose: To assess the impact of an interrupted dacomitinib dosing schedule in Cycle 1 on the incidence of adverse events in first-line advanced NSCLC patients with an EGFR mutation. %Exclusion criteria: rior treatment with an EGFR-targeted or HER-targeted agent.	inhibitor
Lung cancer	Her2	cMet	MET	4233	ABT-700	N/A	N/A	N/A	NCT01472016	Purpose: ABT-700, previously known as h224G11 in publications, is an anti-c-Met antibody. 	inhibitor
Lung cancer	Her2	HER1	EGFR	1956	Lapatinib	lapatinib ditosylate	9941095	lapatinib ditosylate	NCT01497626	Purpose: Lapatinib is a drug that targets two proteins important for the growth of cancer cells known as HER1 (EGFR) and HER2. 	inhibitor
Lung cancer	Her2	Her2	ERBB2	2064	Lapatinib	lapatinib ditosylate	9941095	lapatinib ditosylate	NCT01497626	Purpose: Lapatinib is a drug that targets two proteins important for the growth of cancer cells known as HER1 (EGFR) and HER2. 	inhibitor
Lung cancer	Her2	Her2	ERBB2	2064	AVX901	N/A	N/A	N/A	NCT01526473	Purpose: has been changed so it tells the immune system to attack cancer cells which make HER2. %Detailed description: When VRP are used for immunization, the VRP infect individual cells and the replicon expresses HER2 which then induces an immune response. %Inclusion criteria: subgroups of patients with HER2 overexpression	inhibitor
Lung cancer	Her2	EGFR	EGFR	1956	CO-1686	N/A	N/A	N/A	NCT01526928	Purpose: Study of Oral CO-1686 in Patients With Previously Treated Mutant EGFR Non-Small Cell Lung Cancer (NSCLC). %Detailed description: CO-1686 inhibits T790M. Evaluation of the recommended phase 2 dose in patients with the T790M EGFR mutation. %Inclusion criteria: Documented evidence of any activating mutation in the EGFR.	inhibitor
Lung cancer	Her2	mTOR	mTOR	2475	Metformin	Metformin	4091	N/A	NCT01529593	Purpose: Metformin was designed to treat patients with diabetes. It may be able to block the protein mTOR and slow the growth of tumors.	inhibitor
Lung cancer	Her2	mTOR	mTOR	2475	Temsirolimus	Temsirolimus	23724530	N/A	NCT01529593	Purpose: Temsirolimus is designed to block a protein called mTOR. 	inhibitor
Lung cancer	Her2	EGFR	EGFR	1956	BIBW 2992	BIBW 2992	10184653	N/A	NCT01542437	Purpose: BIBW 2992, an irreversible inhibitor of receptor Epidermal growth factor type 1/2 (EGFR/HER2). %Official title: BIBW 2992, Irreversible Inhibitor of EGFR and HER-2. %Exclusion criteria: Pre-treatment with systemic anti-tumor therapy with EGFR inhibitors	inhibitor
Lung cancer	Her2	Her2	ERBB2	2064	BIBW 2992	BIBW 2992	10184653	N/A	NCT01542437	Purpose: BIBW 2992, an irreversible inhibitor of receptor Epidermal growth factor type 1/2 (EGFR/HER2). %Official title: BIBW 2992, Irreversible Inhibitor of EGFR and HER-2. %Exclusion criteria: Pre-treatment with systemic anti-tumor therapy with EGFR inhibitors	inhibitor
Lung cancer	Her2	N/A	N/A	N/A	Fulvestrant	Fulvestrant	104741	N/A	NCT01556191	Purpose: anti-estrogen (fulvestrant)	inhibitor
Lung cancer	Her2	Her2	ERBB2	2064	Ertumaxomab	N/A	N/A	N/A	NCT01569412	Purpose: Patients with HER2/neu expressing solid tumors progressing after standard therapy will be treated with a so called trifunctional antibody (Ertumaxomab). %Official title: Study To Investigate Safety, Tolerability, And Preliminary Efficacy Of The Trifunctional Anti-HER-2/Neu x Anti-CD3 Antibody Ertumaxomab. %Inclusion criteria: Solid HER2/neu positive tumors.	inhibitor
Lung cancer	Her2	mTOR	mTOR	2475	Everolimus	Everolimus	6442177	N/A	NCT01596140	Official title: mTOR Inhibitor, Everolimus (Afinitor) or Temsirolimus (Torisel)	inhibitor
Lung cancer	Her2	mTOR	mTOR	2475	Temsirolimus	Temsirolimus	23724530	N/A	NCT01596140	Official title: mTOR Inhibitor, Everolimus (Afinitor) or Temsirolimus (Torisel)	inhibitor
Lung cancer	Her2	BRAF	BRAF	673	Vemurafenib	Vemurafenib	42611257	N/A	NCT01596140	Purpose: Vemurafenib is designed to block BRAF. %Official title:  BRAF Inhibitor Vemurafenib. 	inhibitor
Lung cancer	Her2	mTOR	mTOR	2475	SAR245409	N/A	N/A	N/A	NCT01596270	N/A	inhibitor
Lung cancer	Her2	PI3K	PIK3CA	5290	SAR245409	N/A	N/A	N/A	NCT01596270	Exclusion criteria: Intolerance of prior treatment with a PI3K inhibitor.	inhibitor
Lung cancer	Her2	PI3K	PIK3CB	5291	SAR245409	N/A	N/A	N/A	NCT01596270	Exclusion criteria: Intolerance of prior treatment with a PI3K inhibitor.	inhibitor
Lung cancer	Her2	PI3K	PIK3CG	5294	SAR245409	N/A	N/A	N/A	NCT01596270	Exclusion criteria: Intolerance of prior treatment with a PI3K inhibitor.	inhibitor
Lung cancer	Her2	PI3K	PIK3CD	5293	SAR245409	N/A	N/A	N/A	NCT01596270	Exclusion criteria: Intolerance of prior treatment with a PI3K inhibitor.	inhibitor
Lung cancer	Her2	PI3K	PIK3R1	5295	SAR245409	N/A	N/A	N/A	NCT01596270	Exclusion criteria: Intolerance of prior treatment with a PI3K inhibitor.	inhibitor
Lung cancer	Her2	PI3K	PIK3R2	5296	SAR245409	N/A	N/A	N/A	NCT01596270	Exclusion criteria: Intolerance of prior treatment with a PI3K inhibitor.	inhibitor
Lung cancer	Her2	PI3K	PIK3R3	8503	SAR245409	N/A	N/A	N/A	NCT01596270	Exclusion criteria: Intolerance of prior treatment with a PI3K inhibitor.	inhibitor
Lung cancer	Her2	PI3K	PIK3R4	30849	SAR245409	N/A	N/A	N/A	NCT01596270	Exclusion criteria: Intolerance of prior treatment with a PI3K inhibitor.	inhibitor
Lung cancer	Her2	PI3K	PIK3R5	23533	SAR245409	N/A	N/A	N/A	NCT01596270	Exclusion criteria: Intolerance of prior treatment with a PI3K inhibitor.	inhibitor
Lung cancer	Her2	PI3K	PIK3R6	146850	SAR245409	N/A	N/A	N/A	NCT01596270	Exclusion criteria: Intolerance of prior treatment with a PI3K inhibitor.	inhibitor
Lung cancer	Her2	Her2	ERBB2	2064	afatinib	Afatinib	10184653	N/A	NCT01649271	Purpose: assess the efficacy of afatinib given at the MTD dosage, with 3-weekly trastuzumab in HER2 overexpressing metastatic breast cancer. %Official title: Phase I Trial of Afatinib in Combination With 3 Weekly Trastuzumab in Patients With Tumours Overexpressing HER2. %Inclusion criteria: Patients with cancers overexpressing HER2.	inhibitor
Lung cancer	Her2	Her2	ERBB2	2064	trastuzumab	N/A	N/A	N/A	NCT01649271	Purpose: assess the efficacy of afatinib given at the MTD dosage, with 3-weekly trastuzumab in HER2 overexpressing metastatic breast cancer. %Official title: Phase I Trial of Afatinib in Combination With 3 Weekly Trastuzumab in Patients With Tumours Overexpressing HER2. %Inclusion criteria: Patients with cancers overexpressing HER2.	inhibitor
Lung cancer	Her2	Met	MET	4233	SAR125844	N/A	N/A	N/A	NCT01657214	Purpose: To explore the relationship of MET gene amplification status with anti-tumor effects. %Inclusion criteria: At the recommended dose (expansion cohort): only patients with measurable disease and MET gene amplification.	inhibitor
Lung cancer	Her2	N/A	N/A	N/A	Veliparib	Veliparib	11960529	N/A	NCT01657799	N/A	inhibitor
Lung cancer	Her2	CDK1	CDK1	983	Dinaciclib	dinaciclib	46926350	N/A	NCT01676753	Official title: Cyclin-dependent Kinase Inhibitor Dinaciclib. 	inhibitor
Lung cancer	Her2	CDK2	CDK2	1017	Dinaciclib	dinaciclib	46926350	N/A	NCT01676753	Official title: Cyclin-dependent Kinase Inhibitor Dinaciclib. 	inhibitor
Lung cancer	Her2	N/A	N/A	N/A	ASP9853	N/A	N/A	N/A	NCT01705483	N/A	inhibitor
Lung cancer	Her2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	NCT01720836	repeat	inhibitor
Lung cancer	Her2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	NCT01721148	repeat	inhibitor
Lung cancer	EGFR	CTLA4	CTLA-4	1493	Ipilimumab	N/A	N/A	N/A	NCT01750580	Official title: Ipilimumab, an Anti-CTLA4 Monoclonal Antibody.	inhibitor
Lung cancer	EGFR	Kir	N/A	N/A	Lirilumab	N/A	N/A	BMS-986015	NCT01750580	Official title: BMS-986015, an Anti-KIR Monoclonal Antibody.	inhibitor
Lung cancer	Her2	Notch1	Notch1	4851	OMP-52M51	N/A	N/A	N/A	NCT01778439	Exclusion criteria: Prior treatment with gamma secretase inhibitors or other Notch 1 inhibitors	inhibitor
Lung cancer	Her2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	NCT01795768	repeat	inhibitor
Lung cancer	Her2	N/A	N/A	N/A	GS-5745	N/A	N/A	N/A	NCT01803282	N/A	inhibitor
Lung cancer	Her2	Her2	ERBB2	2064	neratinib	neratinib	9915743	N/A	NCT01827267	Purpose: evaluating neratinib monotherapy and neratinib plus temsirolimus combination therapy in patients with non-small cell lung cancer (NSCLC) who have documented somatic HER2 mutations. %Official title: Neratinib and Neratinib Plus Temsirolimus in Patients With Non-Small Cell Lung Cancer Carrying Known HER2 Activating Mutations. %Inclusion criteria: Documented somatic ErbB2 (HER2) activating mutation.	inhibitor
Lung cancer	Her3	PDGFR-a	PDGFRA	5156	pazopanib	pazopanib	10113978	N/A	NCT01407562	N/A	inhibitor
Lung cancer	Her4	PDGFR-_	PDGFRB	5159	pazopanib	pazopanib	10113978	N/A	NCT01407562	N/A	inhibitor
Lung cancer	Her5	VEFGR2	VEGFR2	3791	pazopanib	pazopanib	10113978	N/A	NCT01407562	N/A	inhibitor
Lung cancer	Her6	VEGFR1	FLT1	2321	pazopanib	pazopanib	10113978	N/A	NCT01407562	N/A	inhibitor
Lung cancer	Her7	VEGFR3	FLT4	2324	pazopanib	pazopanib	10113978	N/A	NCT01407562	N/A	inhibitor
Lung cancer	KRAS	N/A	N/A	N/A	Abraxane	TAXOL	36314	N/A	NCT00748553	N/A	inhibitor
Lung cancer	KRAS	N/A	N/A	N/A	Temsirolimus	Temsirolimus	23724530	N/A	NCT00770263	N/A	inhibitor
Lung cancer	KRAS	N/A	N/A	N/A	Sirolimus	rapamycin	5284616	N/A	NCT00940381	N/A	inhibitor
Lung cancer	KRAS	EGFR	EGFR	1956	cetuximab	N/A	N/A	N/A	NCT00946712	Purpose: To prospectively test EGFR FISH as a predictive marker for the selection of patients for treatment with cetuximab.	inhibitor
Lung cancer	KRAS	N/A	N/A	N/A	Irinotecan	Irinotecan	60838	N/A	NCT00980239	N/A	inhibitor
Lung cancer	KRAS	EGFR	EGFR	1956	Sym004	N/A	N/A	N/A	NCT01117428	Inclusion criteria: Documented disease progression during or within 6 months after cessation of anti-EGFR Ab treatment.	inhibitor
Lung cancer	KRAS	Akt	Akt1	207	MK2206	MK2206	46930998	N/A	NCT01245205	Purpose: Akt inhibitor MK2206	inhibitor
Lung cancer	KRAS	Akt	Akt2	208	MK2206	MK2206	46930998	N/A	NCT01245205	Purpose: Akt inhibitor MK2206	inhibitor
Lung cancer	KRAS	Akt	Akt3	10000	MK2206	MK2206	46930998	N/A	NCT01245205	Purpose: Akt inhibitor MK2206	inhibitor
Lung cancer	Akt1	PDGFRA	PDGFRA	5156	Sunitinib	Sunitinib	5329102	N/A	NCT01306045	Purpose: KIT or PDGFRA gene mutations will receive a drug called sunitinib, which inhibits some proteins that are thought to be key factors in the development and progression of some cancers, including kidney cancer.	inhibitor
Lung cancer	KRAS	Kit	KIT	3815	Sunitinib	Sunitinib	5329102	N/A	NCT01306045	Purpose: KIT or PDGFRA gene mutations will receive a drug called sunitinib, which inhibits some proteins that are thought to be key factors in the development and progression of some cancers, including kidney cancer.	inhibitor
Lung cancer	KRAS	VEGFR-1	FLT1	2321	Axitinib	Axitinib	6450551	N/A	NCT01334073	N/A	inhibitor
Lung cancer	KRAS	VEGFR-2	KDR	3791	Axitinib	Axitinib	6450551	N/A	NCT01334073	N/A	inhibitor
Lung cancer	KRAS	VEGFR-3	FLT4	2324	Axitinib	Axitinib	6450551	N/A	NCT01334073	N/A	inhibitor
Lung cancer	KRAS	mTOR	mTOR	2475	everolimus	Everolimus	6442177	N/A	NCT01334073	N/A	inhibitor
Lung cancer	KRAS	N/A	N/A	N/A	Pemetrexed	Pemetrexed	446556	N/A	NCT01344824	N/A	inhibitor
Lung cancer	KRAS	MEK	MAP2k1	5604	 PD-0325901	PD 0325901	9826528	N/A	NCT01347866	Purpose: PD-0325901 (oral MEK inhibitor)	inhibitor
Lung cancer	KRAS	MEK	MAP2k2	5605	 PD-0325901	PD 0325901	9826528	N/A	NCT01347866	Purpose: PD-0325901 (oral MEK inhibitor)	inhibitor
Lung cancer	KRAS	MEK	MAP2K3	5606	 PD-0325901	PD 0325901	9826528	N/A	NCT01347866	Purpose: PD-0325901 (oral MEK inhibitor)	inhibitor
Lung cancer	KRAS	MEK	MAP2K4	6416	 PD-0325901	PD 0325901	9826528	N/A	NCT01347866	Purpose: PD-0325901 (oral MEK inhibitor)	inhibitor
Lung cancer	KRAS	MEK	MAP2K5	5607	 PD-0325901	PD 0325901	9826528	N/A	NCT01347866	Purpose: PD-0325901 (oral MEK inhibitor)	inhibitor
Lung cancer	KRAS	MEK	MAP2k6	5608	 PD-0325901	PD 0325901	9826528	N/A	NCT01347866	Purpose: PD-0325901 (oral MEK inhibitor)	inhibitor
Lung cancer	KRAS	MEK	MAP2k7	5609	 PD-0325901	PD 0325901	9826528	N/A	NCT01347866	Purpose: PD-0325901 (oral MEK inhibitor)	inhibitor
Lung cancer	KRAS	mTOR	mTOR	2475	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
Lung cancer	KRAS	PI3K	PIK3CA	5290	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
Lung cancer	KRAS	PI3K	PIK3CB	5291	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
