Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	"Protein class"
ENSG00000100297	MCM5	CDC46	"Minichromosome maintenance complex component 5"	P33992	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000125885	MCM8	"C20orf154, dJ967N21.5, MGC119522, MGC119523, MGC12866, MGC4816, REC"	"Minichromosome maintenance 8 homologous recombination repair factor"	Q9UJA3	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000111877	MCM9	"C6orf61, dJ329L24.3, FLJ20170, MCMDC1, MGC35304"	"Minichromosome maintenance 9 homologous recombination repair factor"	Q9NXL9	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000090674	MCOLN1	"ML4, MLIV, MST080, MSTP080, TRPM-L1, TRPML1"	"Mucolipin 1"	Q9GZU1	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels"
ENSG00000135679	MDM2	"HDM2, MGC5370"	"MDM2 proto-oncogene"	Q00987	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000116353	MECR	"CGI-63, ETR1, FASN2B, NRBF1"	"Mitochondrial trans-2-enoyl-CoA reductase"	Q9BV79	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000165304	MELK	KIAA0175	"Maternal embryonic leucine zipper kinase"	Q14680	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000153208	MERTK	"c-Eyk, mer, RP38, Tyro12"	"MER proto-oncogene, tyrosine kinase"	Q12866	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000176624	MEX3C	"FLJ38871, RKHD2, RNF194"	"Mex-3 RNA binding family member C"	Q5U5Q3	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000116688	MFN2	"CMT2A2, CPRP1, KIAA0214, MARF"	"Mitofusin 2"	O95140	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000168389	MFSD2A	"FLJ14490, MFSD2"	"Major facilitator superfamily domain containing 2A"	Q8NA29	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000164073	MFSD8	"CLN7, MGC33302"	"Major facilitator superfamily domain containing 8"	Q8NHS3	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000168282	MGAT2	GNT-II	"Mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase"	Q10469	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000101752	MIB1	"DIP-1, KIAA1323, MIB, ZZANK2, ZZZ6"	"Mindbomb E3 ubiquitin protein ligase 1"	Q86YT6	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000107745	MICU1	"CALC, CBARA1, EFHA3, FLJ12684"	"Mitochondrial calcium uptake 1"	Q9BPX6	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000101871	MID1	"FXY, OS, RNF59, TRIM18"	"Midline 1"	O15344	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000080561	MID2	"FXY2, MRX101, RNF60, TRIM1"	"Midline 2"	Q9UJV3	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000107789	MINPP1	MIPP	"Multiple inositol-polyphosphate phosphatase 1"	Q9UNW1	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000027001	MIPEP	MIP	"Mitochondrial intermediate peptidase"	Q99797	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000179455	MKRN3	"D15S9, MGC88288, RNF63, ZFP127, ZNF127"	"Makorin ring finger protein 3"	Q13064	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000100427	MLC1	"KIAA0027, LVM, MLC, VL"	"Megalencephalic leukoencephalopathy with subcortical cysts 1"	Q15049	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000103150	MLYCD	"hMCD, MCD"	"Malonyl-CoA decarboxylase"	O95822	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000139428	MMAB	"cblB, CFAP23"	"Methylmalonic aciduria (cobalamin deficiency) cblB type"	Q96EY8	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000075643	MOCOS	"FLJ20733, HMCS, MOS"	"Molybdenum cofactor sulfurase"	Q96EN8	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000124615	MOCS1	MOCOD	"Molybdenum cofactor synthesis 1"	Q9NZB8	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000164172	MOCS2	MOCO1	"Molybdenum cofactor synthesis 2"	"O96007, O96033"	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000115275	MOGS	"CWH41, DER7, GCS1"	"Mannosyl-oligosaccharide glucosidase"	Q13724	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000060762	MPC1	"BRP44L, CGI-129, dJ68L15.3, SLC54A1"	"Mitochondrial pyruvate carrier 1"	Q9Y5U8	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000178802	MPI		"Mannose phosphate isomerase"	P34949	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000005381	MPO		Myeloperoxidase	P05164	"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000128309	MPST	"MST, TST2, TUM1"	"Mercaptopyruvate sulfurtransferase"	P25325	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000115204	MPV17	SYM1	"MPV17, mitochondrial inner membrane protein"	P39210	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000052802	MSMO1	"DESP4, ERG25, SC4MOL"	"Methylsterol monooxygenase 1"	Q15800	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000174099	MSRB3	"DFNB74, DKFZp686C1178, FLJ36866"	"Methionine sulfoxide reductase B3"	Q8IXL7	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000164078	MST1R	"CD136, CDw136, PTK8, RON"	"Macrophage stimulating 1 receptor"	Q04912	"CD markers, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000198804	MT-CO1	"COI, COX1, MTCO1"	"Mitochondrially encoded cytochrome c oxidase I"	P00395	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000198712	MT-CO2	"CO2, COX2, MTCO2"	"Mitochondrially encoded cytochrome c oxidase II"	P00403	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000198938	MT-CO3	"CO3, COIII, COX3, MTCO3"	"Mitochondrially encoded cytochrome c oxidase III"	P00414	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000198888	MT-ND1	"MTND1, NAD1, ND1"	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1"	P03886	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000198763	MT-ND2	"MTND2, NAD2, ND2"	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2"	P03891	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000198840	MT-ND3	"MTND3, NAD3, ND3"	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3"	P03897	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000198886	MT-ND4	"LHON, MTND4, NAD4, ND4"	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4"	P03905	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000212907	MT-ND4L	"MTND4L, NAD4L, ND4L"	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L"	P03901	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000198786	MT-ND5	"MTND5, NAD5, ND5"	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5"	P03915	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000198695	MT-ND6	"MTND6, NAD6, ND6"	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6"	P03923	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000099810	MTAP	"c86fus, MSAP"	"Methylthioadenosine phosphorylase"	Q13126	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000103707	MTFMT	FMT1	"Mitochondrial methionyl-tRNA formyltransferase"	Q96DP5	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000100714	MTHFD1	"MTHFC, MTHFD"	"Methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1"	P11586	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000177000	MTHFR		"Methylenetetrahydrofolate reductase"	P42898	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000171100	MTM1		"Myotubularin 1"	Q13496	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000087053	MTMR2	"CMT4B, KIAA1073"	"Myotubularin related protein 2"	Q13614	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000107951	MTPAP	"FLJ10486, mtPAP, PAPD1, SPAX4"	"Mitochondrial poly(A) polymerase"	Q9NVV4	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000124275	MTRR	cblE	"5-methyltetrahydrofolate-homocysteine methyltransferase reductase"	Q9UBK8	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000030304	MUSK		"Muscle associated receptor tyrosine kinase"	O15146	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000132781	MUTYH	MYH	"MutY DNA glycosylase"	Q9UIF7	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000167508	MVD	MPD	"Mevalonate diphosphate decarboxylase"	P53602	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000110921	MVK	"LRBP, MK"	"Mevalonate kinase"	Q03426	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000065534	MYLK	"MLCK, MLCK1, MYLK1, smMLCK"	"Myosin light chain kinase"	Q15746	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000101306	MYLK2	"KMLC, MLCK2, skMLCK"	"Myosin light chain kinase 2"	Q9H1R3	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000187616	MYMK	"TMEM226, TMEM8C"	"Myomaker, myoblast fusion factor"	A6NI61	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000095777	MYO3A	DFNB30	"Myosin IIIA"	Q8NEV4	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000102030	NAA10	"ARD1, ARD1A, DXS707, TE2"	"N(alpha)-acetyltransferase 10, NatA catalytic subunit"	P41227	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000152620	NADK2	"C5orf33, FLJ30596, MNADK, NADKD1"	"NAD kinase 2, mitochondrial"	Q4G0N4	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000198951	NAGA	D22S674	Alpha-N-acetylgalactosaminidase	P17050	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000108784	NAGLU	NAG	N-acetyl-alpha-glucosaminidase	P54802	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000103174	NAGPA	"APAA, UCE"	"N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase"	Q9UK23	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000161653	NAGS	"AGAS, ARGA, NAT7"	"N-acetylglutamate synthase"	Q8N159	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000102452	NALCN	"bA430M15.1, CanIon, VGCNL1"	"Sodium leak channel, non-selective"	Q8IZF0	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000095380	NANS	SAS	"N-acetylneuraminate synthase"	Q9NR45	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000137513	NARS2	"DFNB94, FLJ23441, SLM5"	"Asparaginyl-tRNA synthetase 2, mitochondrial"	Q96I59	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000185818	NAT8L	"FLJ37478, Hcml3"	"N-acetyltransferase 8 like"	Q8N9F0	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000163382	NAXE	"AIBP, APOA1BP, MGC119143, MGC119144, MGC119145, YJEFN1"	"NAD(P)HX epimerase"	Q8NCW5	"Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins"
ENSG00000084676	NCOA1	"bHLHe74, F-SRC-1, KAT13A, NCoA-1, RIP160, SRC1"	"Nuclear receptor coactivator 1"	Q15788	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Transcription factors"
ENSG00000070614	NDST1	"HSST, NST1"	"N-deacetylase and N-sulfotransferase 1"	P52848	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000003509	NDUFAF7	"C2orf56, MidA, PRO1853"	"NADH:ubiquinone oxidoreductase complex assembly factor 7"	Q7L592	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000023228	NDUFS1	CI-75k	"NADH:ubiquinone oxidoreductase core subunit S1"	P28331	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000158864	NDUFS2	CI-49	"NADH:ubiquinone oxidoreductase core subunit S2"	O75306	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000115286	NDUFS7	"CI-20, FLJ45860, FLJ46880, PSST"	"NADH:ubiquinone oxidoreductase core subunit S7"	O75251	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000110717	NDUFS8	"CI-23k, TYKY"	"NADH:ubiquinone oxidoreductase core subunit S8"	O00217	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000167792	NDUFV1	CI-51K	"NADH:ubiquinone oxidoreductase core subunit V1"	P49821	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000049759	NEDD4L	"KIAA0439, NEDD4-2, RSP5"	"Neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase"	Q96PU5	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000137601	NEK1	"KIAA1901, NY-REN-55"	"NIMA related kinase 1"	Q96PY6	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000117650	NEK2	"NEK2A, NLK1, PPP1R111, RP67"	"NIMA related kinase 2"	P51955	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000160602	NEK8	NPHP9	"NIMA related kinase 8"	Q86SG6	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000119638	NEK9	"DKFZp434D0935, MGC16714, Nek8, NERCC"	"NIMA related kinase 9"	Q8TD19	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000204386	NEU1	NEU	"Neuraminidase 1"	Q99519	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000151092	NGLY1	"FLJ11005, PNG1"	"N-glycanase 1"	Q96IV0	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000187566	NHLRC1	"bA204B7.2, EPM2B"	"NHL repeat containing E3 ubiquitin protein ligase 1"	Q6VVB1	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000170113	NIPA1	"MGC35570, SLC57A1, SPG6"	"Non imprinted in Prader-Willi/Angelman syndrome 1"	Q7RTP0	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000172548	NIPAL4	ICHYN	"NIPA like domain containing 4"	Q0D2K0	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000188580	NKAIN2	"FAM77B, TCBA1"	"Sodium/potassium transporting ATPase interacting 2"	Q5VXU1	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000173614	NMNAT1	"LCA9, NMNAT, PNAT1"	"Nicotinamide nucleotide adenylyltransferase 1"	Q9HAN9	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000148400	NOTCH1	TAN1	"Notch 1"	P46531	"Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000007952	NOX1	"GP91-2, MOX1, NOH-1, NOH1"	"NADPH oxidase 1"	Q9Y5S8	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000141458	NPC1	SLC65A1	"NPC intracellular cholesterol transporter 1"	O15118	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000119655	NPC2	"EDDM1, HE1, NP-C2"	"NPC intracellular cholesterol transporter 2"	P61916	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters"
ENSG00000116218	NPHS2	"PDCN, SRN1"	"NPHS2, podocin"	Q9NP85	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000187258	NPSR1	"GPR154, GPRA, PGR14"	"Neuropeptide S receptor 1"	Q6W5P4	"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"
ENSG00000179915	NRXN1	"Hs.22998, KIAA0578"	"Neurexin 1"	"P58400, Q9ULB1"	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000165671	NSD1	"ARA267, FLJ22263, KMT3B, STO"	"Nuclear receptor binding SET domain protein 1"	Q96L73	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000109685	NSD2	"KMT3G, MMSET, WHSC1"	"Nuclear receptor binding SET domain protein 2"	O96028	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Transcription factors"
ENSG00000147548	NSD3	"FLJ20353, KMT3F, WHISTLE, WHSC1L1"	"Nuclear receptor binding SET domain protein 3"	Q9BZ95	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000147383	NSDHL	"H105e3, SDR31E1, XAP104"	"NAD(P) dependent steroid dehydrogenase-like"	Q15738	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000037474	NSUN2	"FLJ20303, Misu, MRT5, TRM4"	"NOP2/Sun RNA methyltransferase family member 2"	Q08J23	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000076685	NT5C2	"cN-II, GMP, NT5B, PNT5, SPG65"	"5'-nucleotidase, cytosolic II"	P49902	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000122643	NT5C3A	"cN-III, hUMP1, NT5C3, p36, P5'N-1, PN-I, POMP, PSN1, UMPH, UMPH1"	"5'-nucleotidase, cytosolic IIIA"	Q9H0P0	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000135318	NT5E	"CALJA, CD73, eN, eNT, NT5"	"5'-nucleotidase ecto"	P21589	"CD markers, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000065057	NTHL1	"NTH1, OCTS3"	"Nth like DNA glycosylase 1"	P78549	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000148053	NTRK2	TRKB	"Neurotrophic receptor tyrosine kinase 2"	Q16620	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, RAS pathway related proteins"
ENSG00000140538	NTRK3	TRKC	"Neurotrophic receptor tyrosine kinase 3"	Q16288	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000111581	NUP107	NUP84	"Nucleoporin 107"	P57740	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000113569	NUP155	"KIAA0791, N155"	"Nucleoporin 155"	O75694	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000095319	NUP188	KIAA0169	"Nucleoporin 188"	Q5SRE5	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000155561	NUP205	"C7orf14, KIAA0225"	"Nucleoporin 205"	Q92621	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000126883	NUP214	"CAIN, CAN, D9S46E, N214"	"Nucleoporin 214"	P35658	"Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000213024	NUP62	"DKFZp547L134, FLJ20822, FLJ43869, IBSN, MGC841, p62, SNDI"	"Nucleoporin 62"	P37198	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000102900	NUP93	KIAA0095	"Nucleoporin 93"	Q8N1F7	"Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000153989	NUS1	"C6orf68, MGC7199, NgBR, TANGO14"	"NUS1 dehydrodolichyl diphosphate synthase subunit"	Q96E22	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000065154	OAT	HOGA	"Ornithine aminotransferase"	P04181	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000154358	OBSCN	"ARHGEF30, KIAA1556, KIAA1639, UNC89"	"Obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF"	Q5VST9	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000104044	OCA2	"BEY, BEY1, BEY2, D15S12, EYCL, EYCL2, EYCL3, P"	"OCA2 melanosomal transmembrane protein"	Q04671	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000197822	OCLN	PPP1R115	Occludin	Q16625	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000122126	OCRL	OCRL1	"OCRL, inositol polyphosphate-5-phosphatase"	Q01968	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000114026	OGG1	"HMMH, HOGG1, MUTM, OGH1"	"8-oxoguanine DNA glycosylase"	O15527	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000147162	OGT	"FLJ23071, HRNT1, MGC22921, O-GLCNAC, OGT1"	"O-linked N-acetylglucosamine (GlcNAc) transferase"	O15294	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000198836	OPA1	"FLJ12460, KIAA0567, MGM1, NPG, NTG"	"OPA1, mitochondrial dynamin like GTPase"	O60313	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000178814	OPLAH	"5-Opase, OPLA"	"5-oxoprolinase, ATP-hydrolysing"	O14841	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000102076	OPN1LW	"CBBM, CBP, COD5, RCP"	"Opsin 1, long wave sensitive"	P04000	"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000268221	OPN1MW	"CBBM, CBD, COD5, GCP, OPN1MW1"	"Opsin 1, medium wave sensitive"	P04001	"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"
ENSG00000128617	OPN1SW	"BCP, BOP, CBT"	"Opsin 1, short wave sensitive"	P03999	"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"
ENSG00000276045	ORAI1	"CRACM1, FLJ14466, TMEM142A"	"ORAI calcium release-activated calcium modulator 1"	Q96D31	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000092094	OSGEP	"GCPL1, KAE1, OSGEP1, PRSMG1, TCS3"	"O-sialoglycoprotein endopeptidase"	Q9NPF4	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000081087	OSTM1	"GL, HSPC019"	"Osteopetrosis associated transmembrane protein 1"	Q86WC4	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000036473	OTC		"Ornithine carbamoyltransferase"	P00480	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000155100	OTUD6B	"CGI-77, DUBA5"	"OTU domain containing 6B"	Q8N6M0	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000154124	OTULIN	"FAM105B, FLJ34884"	"OTU deubiquitinase with linear linkage specificity"	Q96BN8	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000083720	OXCT1	"OXCT, SCOT"	"3-oxoacid CoA-transferase 1"	P55809	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000117385	P3H1	"GROS1, LEPRE1, LEPRECAN, MGC117314"	"Prolyl 3-hydroxylase 1"	Q32P28	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000090530	P3H2	"FLJ10718, LEPREL1, MLAT4"	"Prolyl 3-hydroxylase 2"	Q8IVL5	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000072682	P4HA2	C-P4Halpha(II)	"Prolyl 4-hydroxylase subunit alpha 2"	O15460	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000185624	P4HB	"DSI, ERBA2L, GIT, P4Hbeta, PDI, PDIA1, PO4DB, PO4HB, PROHB"	"Prolyl 4-hydroxylase subunit beta"	P07237	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"
ENSG00000142619	PADI3	PDI3	"Peptidyl arginine deiminase 3"	Q9ULW8	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
