Molecular Target	Entrez Gene Name	Enterez Gene Id	Drug name	Other drug name	Pubchem name	CID	SID	Interaction type	Mode of action	Clinical Trial ID(s)	Detail	Phase	Include this entry?	Comments
Tubulin	N/A	N/A	Paclitaxel, Vintafolide	Anzatax, Asotax, Bristaxol, EC145, Folate-Vinca Alkaloid Conjugate EC145, MK-8109, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Folate-targeted tubulin inhibitor, Tubulin and Bcl2 inhibitor	NCT01688791	Advanced Cancer A Phase I Dose Escalation Study Evaluating Vintafolide (MK-8109) Chemotherapy Combinations in Adult Subjects With Advanced Cancers	I	0	
Tubulin	N/A	N/A	ATI1123	Taxotere	N/A	N/A	N/A	inhibitor	Tubulin inhibitor	NCT01715168	Recurrent ovarian cancer A Phase 1, Single-blind, Randomized, Two-way, Crossover Bioequivalence Study of Intravenously Administered ATI 0918 in Patients With Ovarian Cancer That Has Progressed or Recurred After Platinum-based Chemotherapy	I	0	
DNA-PK	N/A	N/A	P7170	PI3K/mTOR/ALK-1/DNA-PK inhibitor P7170	N/A	N/A	N/A	inhibitor	PI3K/mTOR/ALK-1/DNA-PK inhibitor	NCT01762410	Advanced Refractory Solid Tumors An Open Label Multicentric Phase 1 Study of Oral PI3K/mTOR Inhibitor P7170 in Patients With Advanced Refractory Solid Tumors.	I	0	
Tubulin	N/A	N/A	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01778803	Adv or refractory ovarian cancer A Phase I/Ib Study of Paclitaxel in Combination With VS-6063, a Focal Adhesion Kinase Inhibitor, in Subjects With Advanced Ovarian Cancer	I	0	
Tubulin	N/A	N/A	ATI1123	Taxotere	N/A	N/A	N/A	inhibitor	Tubulin inhibitor	NCT01815294	Advanced solid tumors A Pivotal Bioequivalence Study of DOXIL/CAELYX Manufactured at a New Site in Subjects With Advanced or Refractory Solid Malignancies Including Subjects With Ovarian Cancer.	I	0	
Tubulin	N/A	N/A	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01831089	Advanced solid tumors Phase I Multicenter, Open-label, Clinical and Pharmacokinetic Study of Lurbinectedin (PM01183) in Combination With Weekly Paclitaxel, With or Without Bevacizumab, in Patients With Selected Advanced Solid Tumors	I	0	
Tubulin	N/A	N/A	Docetaxel	Taxotere	docetaxel	148124	N/A	inhibitor	Tubulin and VEGF inhibitor	NCT00303888	Platinum-sensitive, recurrent ovarian epithelial cancer Docetaxel With or Without Phenoxodiol in Treating Patients With Recurrent Advanced Ovarian Epithelial Cancer, Fallopian Tube Cancer, or Primary Peritoneal Cavity Cancer	I/II	0	
Tubulin	N/A	N/A	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT00976183	Stage III/IV ovarian cancer cancer, not have received chemotherapy yet Paclitaxel, Carboplatin and Vorinostat for the Treatment of Advanced Stage Ovarian Carcinoma	I/II	0	
Tubulin	N/A	N/A	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01091428	Recurrent epithelial ovarian carcinoma MLN8237 in Patients With Ovarian, Fallopian Tube or Peritoneal Cancer Preceded by Phase 1 Study of MLN8237 Plus Paclitaxel Treatment of Ovary or Breast Cancer	I/II	0	
Tubulin	N/A	N/A	BNC105P	N/A	BNC105p	16678086	N/A	inhibitor	microtubule polymerization inhibitor	NCT01624493	Relapsed ovarian cancer, platinum sensitive Phase I/II BNC105P Combination Study in Partially Platinum Sensitive Ovarian Cancer Patients in First or Second Relapse	I/II	0	
Tubulin	N/A	N/A	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01650376	Relapsed ovarian cancer Phase Ib With Expansion of Patients at the MTD Study of Olaparib Plus Weekly (Metronomic) Carboplatin and Paclitaxel in Relapsed Ovarian Cancer Patients	I/II	0	
Tubulin	N/A	N/A	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01653912	Recurrent platinum-resistant ovarian cancer An Open-Label Phase I/II Study of GSK2110183 in Combination With Carboplatin and Paclitaxel in Subjects With Platinum-Resistant Ovarian Cancer	I/II	0	
DNA methyltransferase	N/A	N/A	SGI-110	DNA methyltransferase inhibitor SGI-110	UNII-0RB89YH367	71587873	N/A	inhibitor	DNA methyltransferase inhibitor	NCT01696032	Ovarian Cancer A Randomized, Controlled, Open-Label, Phase 2 Trial of SGI-110 and Carboplatin in Subjects With Platinum-Resistant Recurrent Ovarian Cancer	I/II	0	Drug is a hypomethylating agent, no targetting of specific gene
Tubulin	N/A	N/A	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01696032	Ovarian Cancer A Randomized, Controlled, Open-Label, Phase 2 Trial of SGI-110 and Carboplatin in Subjects With Platinum-Resistant Recurrent Ovarian Cancer	I/II	0	
Tubulin	N/A	N/A	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01711970	Recurrent, Platinum-Resistant Ovarian, Fallopian Tube or Primary Peritoneal Cancer A Phase I/II Trial of Multiple Dose VB-111 and Weekly Paclitaxel for the Treatment of Recurrent Platinum-Resistant Mllerian Cancer	I/II	0	
Tubulin	N/A	N/A	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01235897	Advanced HER2-overexpressing solid tumors A Phase Ib Dose-escalation Trial of the AKT Inhibitor MK2206 in Combination With Weekly Paclitaxel With or Without Trastuzumab	Ib	0	
Tubulin	N/A	N/A	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT00585052	Platinum-refractory or -resistant ovarian cancer A Phase II Study of Interaction of Lovastatin and Paclitaxel For Patients With Refractory or Relapsed Ovarian Cancer	II	0	
Tubulin	N/A	N/A	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01097746	Newly diagnosed stage III, IV ovarian epithelial cancer First-line Treatment of Weekly Paclitaxel With Carboplatin and Bevacizumab in Ovarian Cancer	II	0	
Tubulin	N/A	N/A	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01196429	Newly diagnosed stage III or stage IV clear cell ovarian cancer. Temsirolimus, Carboplatin, and Paclitaxel as First-Line Therapy in Treating Patients With Newly Diagnosed Stage III or Stage IV Clear Cell Ovarian Cancer	II	0	
Tubulin	N/A	N/A	Fosbretabulin	Combretastatin A-4 Phosphate, fosbretabulin tromethamine, Zybrestat	Fosbretabulin	5351387	N/A	inhibitor	tubulin polymerization inhibitor	NCT01305213	Platinum sensitive recurrent or persistent epithelial ovarian, fallopian tube, or primary peritoneal carcinoma A Randomized Phase II Evaluation of Single-Agent Bevacizumab (IND #7921) (NSC #704865) and Combination Bevacizumab With Fosbretabulin Tromethamine (CA4P) (NSC #752293) in the Treatment of Recurrent or Persistent Epithelial Ovarian, Fallopian Tube or Primary Peritoneal Carcinoma	II	0	
Tubulin	N/A	N/A	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01357161	Platinum-sensitive p53 mutant ovarian cancer A Randomized, Phase II Study Evaluating MK-1775 in Combination With Paclitaxel and Carboplatin Versus Paclitaxel and Carboplatin Alone in Adult Patients With Platinum Sensitive p53 Mutant Ovarian Cancer	II	0	
Tubulin	N/A	N/A	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01616303	Newly diagnosed advanced ovarian cancer Phase 2: A Randomized Controlled Study on Effectiveness of Chemotherapy (Carboplatin-Paclitaxel) Versus Chemo-immunotherapy (Carboplatin-Paclitaxel-Oregovomab) in Patients With Advanced Epithelial Ovarian, Adnexal or Peritoneal Carcinoma	II	0	
Tubulin	N/A	N/A	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01716715	Recurrent epithelial ovarian cancer A RANDOMIZED PHASE II STUDY OF NCI SUPPLIED CABOZANTINIB (NSC #761968 IND #116059) VERSUS WEEKLY PACLITAXEL (NSC #673089) IN THE TREATMENT OF PERSISTENT OR RECURRENT EPITHELIAL OVARIAN, FALLOPIAN TUBE OR PRIMARY PERITONEAL CANCER	II	0	
Tubulin	N/A	N/A	Paclitaxel, Paclitaxel Poliglumex	Anzatax, Asotax, Bristaxol, paclitaxel-polyglutamate polymer, polyglutamate paclitaxel, polyglutamic acid paclitaxel, Poly-L-Glutamic acid-Paclitaxel Conjugate, Praxel, Taxol, Taxol Konzentrat, TXL, Xyotax	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT00108745	Stage III-IV ovarian epithelial cancer Paclitaxel or Polyglutamate Paclitaxel or Observation in Treating Patients With Stage III or Stage IV Ovarian Epithelial or Peritoneal Cancer or Fallopian Tube Cancer	III	0	
Tubulin	N/A	N/A	Paclitaxel, Paclitaxel Poliglumex	Anzatax, Asotax, Bristaxol, paclitaxel-polyglutamate polymer, polyglutamate paclitaxel, polyglutamic acid paclitaxel, Poly-L-Glutamic acid-Paclitaxel Conjugate, Praxel, Taxol, Taxol Konzentrat, TXL, Xyotax	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT00108745	Stage III-IV ovarian epithelial cancer Paclitaxel or Polyglutamate Paclitaxel or Observation in Treating Patients With Stage III or Stage IV Ovarian Epithelial or Peritoneal Cancer or Fallopian Tube Cancer	III	0	
Tubulin	N/A	N/A	Docetaxel, Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, Taxotere, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor, Tubulin and VEGF inhibitor	NCT00565851	Recurrent ovarian epithelial cancer Carboplatin and Paclitaxel With or Without Bevacizumab After Surgery in Treating Patients With Recurrent Ovarian Epithelial Cancer, Primary Peritoneal Cavity Cancer, or Fallopian Tube Cancer	III	0	
Tubulin	N/A	N/A	Docetaxel, Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, Taxotere, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor, Tubulin and VEGF inhibitor	NCT00565851	Recurrent ovarian epithelial cancer Carboplatin and Paclitaxel With or Without Bevacizumab After Surgery in Treating Patients With Recurrent Ovarian Epithelial Cancer, Primary Peritoneal Cavity Cancer, or Fallopian Tube Cancer	III	0	
Tubulin	N/A	N/A	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT00954174	Persistent or recurrent ovarian cancer Paclitaxel and Carboplatin or Ifosfamide in Treating Patients With Newly Diagnosed Persistent or Recurrent Uterine or Ovarian Cancer	III	0	
Tubulin	N/A	N/A	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01081262	Newly diagnosed ovarian cancer (before chemotherapy), diagnosed stage II, stage III, or stage IV or recurrent stage I ovarian cancer Carboplatin and Paclitaxel or Oxaliplatin and Capecitabine, With or Without Bevacizumab, as First-Line Therapy in Treating Patients With Newly Diagnosed Stage II, Stage III, Stage IV, or Recurrent Stage I Epithelial Ovarian Cancer or Fallopian Tube Cancer	III	0	
Tubulin	N/A	N/A	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01167712	Stage III, IV ovarian epithelial cancer Paclitaxel and Carboplatin With or Without Bevacizumab in Treating Patients With Stage III or Stage IV Ovarian Epithelial Cancer, Primary Peritoneal Cancer, or Fallopian Tube Cancer	III	0	
Tubulin	N/A	N/A	Vintafolide	EC145, Folate-Vinca Alkaloid Conjugate EC145, MK-8109	Paclitaxel	N/A	162109041	inhibitor	Folate-targeted tubulin inhibitor	NCT01170650	primary or secondary platinum-resistant ovarian cancer Study for Women With Platinum Resistant Ovarian Cancer Evaluating EC145 in Combination With Doxil (PROCEED)	III	0	
Tubulin	N/A	N/A	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01239732	Newly diagnosed advanced ovarian cncer Global Study to Assess the Addition of Bevacizumab to Carboplatin and Paclitaxel as Front-line Treatment of Epithelial Ovarian Cancer, Fallopian Tube Carcinoma or Primary Peritoneal Carcinoma	III	0	
Tubulin	N/A	N/A	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01493505	Newly diagnosed stage III-IV ovarian epithelial cancer A Phase 3 Randomized, Double-blind, Placebo-controlled, Multicenter Study of AMG 386 With Paclitaxel and Carboplatin as First-line Treatment of Subjects With FIGO Stage III-IV Epithelial Ovarian, Primary Peritoneal or Fallopian Tube Cancers	III	0	
Tubulin	N/A	N/A	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01849874	Recurrent low grade serous ovarian , fallopian tube, peritoneal cancer A Study of MEK162 vs. Physician's Choice Chemotherapy in Patients With Low-grade Serous Ovarian, Fallopian Tube or Peritoneal Cancer	III	0	
Beta-adrenergic receptors	N/A	N/A	propanolol	Inderal, InnoPranXL	Propranolol	4946	N/A	blocker	Beta blocker	NCT01308944	diagnosed ovarian, fallopian tube, or primary peritoneal cancer Feasibility Study: Therapeutic Targeting of Stress Factors in Ovarian Cancer Patients	N/A	0	
Beta-adrenergic receptors	N/A	N/A	propanolol	Inderal, InnoPranXL	Propranolol	4946	N/A	blocker	Beta blocker	NCT01504126	diagnosed epithelial ovarian cancer Feasibility Study: Therapeutic Targeting of Stress Factors in Ovarian Cancer Patients	N/A	0	Drug is beta-blocker. Clinical trial is testing it's ability to amplify taxol
NF-kappaB	NFKB1	4790	Bortezomib	PS-341, Velcade	Bortezomib	387447	N/A	inhibitor	Proteosome and NF-kappaB inhibitor	NCT01074411	Persistent or recurrent ovarian epithelial cancer Intraperitoneal Bortezomib and Carboplatin in Treating Patients With Persistent or Recurrent Ovarian Epithelial Cancer, Fallopian Tube Cancer, or Primary Peritoneal Cancer	I	1	
Trk	NTRK1	4914	Dovitinib	RTK inhibitor TKI258	Dovitinib	9886808	N/A	inhibitor	Multi-targeted RTK inhibitor	NCT01831726	Advanced Tumors With Mutations or Translocations of FGFR, PDGFR, VEGF, cKIT, FLT3, CSFR1, Trk and RET Dovitinib for Patients With Tumor Pathway Activations Inhibited by Dovitinib	I	1	
p53	P53	7157	Kevetrin	Thioureidobutyronitrile	granisetron	5284566	N/A	activator	p53 activator	NCT01664000	Advanced solid tumors A Phase 1, Open-Label, Dose-Escalation, Safety, Pharmacokinetic and Pharmacodynamic Study of Kevetrin (Thioureidobutyronitrile) Administered Intravenously, in Patients With Advanced Solid Tumors	I	1	
PARP1/2	PARP1	142	Veliparib	ABT-888	Veliparib	11960529	N/A	inhibitor	PARP inhibitor	NCT00892736	Malignant solid tumors that did not respond to previous therapy ABT-888 in Treating Patients With Malignant Solid Tumors That Did Not Respond to Previous Therapy	I	1	
PARP1/2	PARP1	142	Veliparib	ABT-888	Veliparib	11960529	N/A	inhibitor	PARP inhibitor	NCT00989651	Newly diagnosed ovarian cancer (before chemotherapy), diagnosed stage II, stage III, or stage IV Carboplatin, Paclitaxel, Bevacizumab, and ABT-888 in Treating Patients With Newly Diagnosed Stage II, Stage III, or Stage IV Ovarian Epithelial Cancer, Fallopian Tube Cancer, or Primary Peritoneal Cancer	I	1	
PARP1/2	PARP1	142	Veliparib	ABT-888	Veliparib	11960529	N/A	inhibitor	PARP inhibitor	NCT01104259	BRCA1/2 hereditary ovarian cancer Phase I Study of ABT-888 in Combination With Cisplatin and Vinorelbine for Patients With Advanced Triple Negative Breast Cancer and/or BRCA-Mutation Associated Breast Cancer	I	1	
PARP1/2	PARP1	142	Veliparib	ABT-888	Veliparib	11960529	N/A	inhibitor	PARP inhibitor	NCT01145430	Recurrent Ovarian Cancer, Fallopian Tube Cancer, or Primary Peritoneal Cancer PHASE I STUDY OF ABT-888, PARP INHIBITOR, AND PEGYLATED LIPOSOMAL DOXORUBICIN (PLD) IN RECURRENT GYNECOLOGIC CANCER AND BREAST CANCER	I	1	
PARP1/2	PARP1	142	Veliparib	ABT-888	Veliparib	11960529	N/A	inhibitor	PARP inhibitor	NCT01233505	Metastatic mucinous ovarian cancer and/or BRCA1/2 mutant Veliparib, Oxaliplatin, and Capecitabine in Treating Patients With Advanced Solid Tumors	I	1	
PARP1/2	PARP1	142	Olaparib	AZD2281	Olaparib	23725625	N/A	inhibitor	PARP inhibitor	NCT01237067	Ovarian cancer did not respond to conventional treatment Olaparib in Combination With Carboplatin for Refractory or Recurrent Women's Cancers	I	1	
PARP1/2	PARP1	142	BMN-673	N/A	1207456-01-6	44819241	N/A	inhibitor	PARP inhibitor	NCT01286987	Advanced ovarian cancer A Phase 1, First in Human, Single-arm, Open-label Study of Once a Day, Orally Administered BMN 673 in Patients With Advanced or Recurrent Solid Tumors	I	1	
PARP1/2	PARP1	142	ABT-767	N/A	N/A	N/A	N/A	inhibitor	PARP inhibitor	NCT01339650	Advanced BRCA1 or BRCA2-mutated solid tumors and high grade serous ovarian, fallopian tube, or primary peritoneal cancer A Phase 1 Study of ABT-767 in BRCA1 or BRCA2 Mutation Carriers With Advanced Solid Tumors and in Subjects With High Grade Serous Ovarian, Fallopian Tube, or Primary Peritoneal Cancer	I	1	
PARP1/2	PARP1	142	Veliparib	ABT-888	Veliparib	11960529	N/A	inhibitor	PARP inhibitor	NCT01366144	Recurrent or stage IV ovarian cancer An Early Phase 1 Study of ABT-888 in Combination With Carboplatin and Paclitaxel in Patients With Hepatic or Renal Dysfunction and Solid Tumors	I	1	
PARP1/2	PARP1	142	Veliparib	ABT-888	Veliparib	11960529	N/A	inhibitor	PARP inhibitor	NCT01434316	BRCA1/2 carriers, advanced solid tumors Veliparib and Dinaciclib With or Without Carboplatin in Treating Patients With Advanced Solid Tumors	I	1	
PARP1/2	PARP1	142	Olaparib	AZD2281	Olaparib	23725625	N/A	inhibitor	PARP inhibitor	NCT01445418	Metastatic epithelial ovarian cancer, primary peritoneal cancer, and/or fallopian tube cancer who have failed prior therapy A Phase I Study With an Expansion Cohort of the PARP Inhibitor AZD2281 Combined With Carboplatin in BRCA1/2 Familial Breast and Ovarian Cancer and Sporadic Triple Negative Breast and Ovarian Cancer	I	1	
PARP1/2	PARP1	142	Veliparib	ABT-888	Veliparib	11960529	N/A	inhibitor	PARP inhibitor	NCT01459380	Recurrent Platinum Sensitive Ovarian, Primary Peritoneal and Fallopian Tube Cancer A Phase I Trial of Doxil ), Carboplatin and NCI Supplied Veliparib (ABT-888) in Recurrent Platinum Sensitive Ovarian, Primary Peritoneal and Fallopian Tube Cancer	I	1	
PARP1/2	PARP1	142	E7449	N/A	N/A	N/A	N/A	inhibitor	PARP inhibitor	NCT01618136	Advanced solid tumors An Open-Label, Multicenter, Phase 1/2 Study of Poly(ADP-Ribose) Polymerase (PARP) Inhibitor E7449 as Single Agent in Subjects With Advanced Solid Tumors or With B-cell Malignancies and in Combination With Temozolomide (TMZ) or With Carboplatin and Paclitaxel in Subjects With Advanced Solid Tumors	I	1	
PARP1/2	PARP1	142	Olaparib	AZD2281	Olaparib	23725625	N/A	inhibitor	PARP inhibitor	NCT01623349	Recurrent ovarian cancer Phase I Study of the Oral PI3kinase Inhibitor BKM120 and the Oral PARP Inhibitor Olaparib in Patients With Recurrent Triple Negative Breast Cancer or Recurrent High Grade Serous Ovarian Cancer	I	1	
PARP1/2	PARP1	142	Veliparib	ABT-888	Veliparib	11960529	N/A	inhibitor	PARP inhibitor	NCT01749397	Recurrent (metastatic) epithelial ovarian cancer A Phase I Trial of the Combination of the PARP Inhibitor ABT-888 With Intraperitoneal Floxuridine (FUDR) in Epithelial Ovarian, Primary Peritoneal and Fallopian Tube Cancers	I	1	
PARP1/2	PARP1	142	Veliparib	ABT-888	Veliparib	11960529	N/A	inhibitor	PARP inhibitor	NCT01853306	Platinum-sensitive recurrent BRCA1/2 mutated or G3 serous ovarian cancer A Phase 1 Study to Evaluate the Safety, Pharmacokinetics and Oral Bioavailability of Veliparib in Subjects With Solid Tumors	I	1	
PARP1/2	PARP1	142	Veliparib	ABT-888	Veliparib	11960529	N/A	inhibitor	PARP inhibitor	NCT01012817	Platinum-refractory or recurrent (< 1yr after Pt treatment) ovarian epithelial or primary peritoneal cancer A Phase I/II Trial of ABT-888, an Inhibitor of Poly(ADP-ribose) Polymerase (PARP), and Topotecan (TPT) in Patients With Solid Tumors (Phase I) and Relapsed or Refractory Ovarian Cancer or Primary Peritoneal Cancer (Phase II) After Prior Platinum Containing First-Line Chemotherapy	I/II	1	
PARP1/2	PARP1	142	Rucaparib	AG014699, PF-01367338	RUCAPARIB	9931954	N/A	inhibitor	PARP inhibitor	NCT01482715	gBRCA mutation ovarian cancer, platinum sensitive A Phase I/II, Open-Label, Safety, Pharmacokinetic, and Preliminary Efficacy Study of Oral Rucaparib in Patients With gBRCA Mutation Breast or Ovarian Cancer, or Other Solid Tumor	I/II	1	
PARP1/2	PARP1	142	Olaparib	AZD2281	Olaparib	23725625	N/A	inhibitor	PARP inhibitor	NCT01650376	Relapsed ovarian cancer Phase Ib With Expansion of Patients at the MTD Study of Olaparib Plus Weekly (Metronomic) Carboplatin and Paclitaxel in Relapsed Ovarian Cancer Patients	I/II	1	
PARP1/2	PARP1	142	Niraparib	MK4827	Niraparib	24958200	N/A	inhibitor	PARP inhibitor	NCT01847274	Platinum-sensitive G3 serous (or germline BRCA) ovarian cancer A Phase 3 Randomized Double-blind Trial of Maintenance With Niraparib Versus Placebo in Patients With Platinum Sensitive Ovarian Cancer	III	1	
PARP1/2	PARP2	10038	Veliparib	ABT-888	Veliparib	11960529	N/A	inhibitor	PARP inhibitor	NCT00892736	Malignant solid tumors that did not respond to previous therapy ABT-888 in Treating Patients With Malignant Solid Tumors That Did Not Respond to Previous Therapy	I	1	
PARP1/2	PARP2	10038	Veliparib	ABT-888	Veliparib	11960529	N/A	inhibitor	PARP inhibitor	NCT00989651	Newly diagnosed ovarian cancer (before chemotherapy), diagnosed stage II, stage III, or stage IV Carboplatin, Paclitaxel, Bevacizumab, and ABT-888 in Treating Patients With Newly Diagnosed Stage II, Stage III, or Stage IV Ovarian Epithelial Cancer, Fallopian Tube Cancer, or Primary Peritoneal Cancer	I	1	
PARP1/2	PARP2	10038	Veliparib	ABT-888	Veliparib	11960529	N/A	inhibitor	PARP inhibitor	NCT01104259	BRCA1/2 hereditary ovarian cancer Phase I Study of ABT-888 in Combination With Cisplatin and Vinorelbine for Patients With Advanced Triple Negative Breast Cancer and/or BRCA-Mutation Associated Breast Cancer	I	1	
PARP1/2	PARP2	10038	Veliparib	ABT-888	Veliparib	11960529	N/A	inhibitor	PARP inhibitor	NCT01145430	Recurrent Ovarian Cancer, Fallopian Tube Cancer, or Primary Peritoneal Cancer PHASE I STUDY OF ABT-888, PARP INHIBITOR, AND PEGYLATED LIPOSOMAL DOXORUBICIN (PLD) IN RECURRENT GYNECOLOGIC CANCER AND BREAST CANCER	I	1	
PARP1/2	PARP2	10038	Veliparib	ABT-888	Veliparib	11960529	N/A	inhibitor	PARP inhibitor	NCT01233505	Metastatic mucinous ovarian cancer and/or BRCA1/2 mutant Veliparib, Oxaliplatin, and Capecitabine in Treating Patients With Advanced Solid Tumors	I	1	
PARP1/2	PARP2	10038	Olaparib	AZD2281	Olaparib	23725625	N/A	inhibitor	PARP inhibitor	NCT01237067	Ovarian cancer did not respond to conventional treatment Olaparib in Combination With Carboplatin for Refractory or Recurrent Women's Cancers	I	1	
PARP1/2	PARP2	10038	BMN-673	N/A	1207456-01-6	44819241	N/A	inhibitor	PARP inhibitor	NCT01286987	Advanced ovarian cancer A Phase 1, First in Human, Single-arm, Open-label Study of Once a Day, Orally Administered BMN 673 in Patients With Advanced or Recurrent Solid Tumors	I	1	
PARP1/2	PARP2	10038	ABT-767	N/A	N/A	N/A	N/A	inhibitor	PARP inhibitor	NCT01339650	Advanced BRCA1 or BRCA2-mutated solid tumors and high grade serous ovarian, fallopian tube, or primary peritoneal cancer A Phase 1 Study of ABT-767 in BRCA1 or BRCA2 Mutation Carriers With Advanced Solid Tumors and in Subjects With High Grade Serous Ovarian, Fallopian Tube, or Primary Peritoneal Cancer	I	1	
PARP1/2	PARP2	10038	Veliparib	ABT-888	Veliparib	11960529	N/A	inhibitor	PARP inhibitor	NCT01366144	Recurrent or stage IV ovarian cancer An Early Phase 1 Study of ABT-888 in Combination With Carboplatin and Paclitaxel in Patients With Hepatic or Renal Dysfunction and Solid Tumors	I	1	
PARP1/2	PARP2	10038	Veliparib	ABT-888	Veliparib	11960529	N/A	inhibitor	PARP inhibitor	NCT01434316	BRCA1/2 carriers, advanced solid tumors Veliparib and Dinaciclib With or Without Carboplatin in Treating Patients With Advanced Solid Tumors	I	1	
PARP1/2	PARP2	10038	Olaparib	AZD2281	Olaparib	23725625	N/A	inhibitor	PARP inhibitor	NCT01445418	Metastatic epithelial ovarian cancer, primary peritoneal cancer, and/or fallopian tube cancer who have failed prior therapy A Phase I Study With an Expansion Cohort of the PARP Inhibitor AZD2281 Combined With Carboplatin in BRCA1/2 Familial Breast and Ovarian Cancer and Sporadic Triple Negative Breast and Ovarian Cancer	I	1	
PARP1/2	PARP2	10038	Veliparib	ABT-888	Veliparib	11960529	N/A	inhibitor	PARP inhibitor	NCT01459380	Recurrent Platinum Sensitive Ovarian, Primary Peritoneal and Fallopian Tube Cancer A Phase I Trial of Doxil ), Carboplatin and NCI Supplied Veliparib (ABT-888) in Recurrent Platinum Sensitive Ovarian, Primary Peritoneal and Fallopian Tube Cancer	I	1	
