entrez_gene_symbol	gene_long_name	category_sources	category
HSD3B2 	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2 	RussLampel	DRUGGABLE GENOME
HSD3B7 	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 	RussLampel	DRUGGABLE GENOME
HSD3BP1 	hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 1 	RussLampel	DRUGGABLE GENOME
HSDL1 	hydroxysteroid dehydrogenase like 1 	HopkinsGroom	SHORT CHAIN DEHYDROGENASE REDUCTASE
HSDL1 	hydroxysteroid dehydrogenase like 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
HSDL2 	hydroxysteroid dehydrogenase like 2 	HopkinsGroom	SHORT CHAIN DEHYDROGENASE REDUCTASE
HSDL2 	hydroxysteroid dehydrogenase like 2 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
HSF4 	heat shock transcription factor 4 	GO	HISTONE MODIFICATION
HSP90AA1 	heat shock protein 90kDa alpha (cytosolic), class A member 1 	HopkinsGroom	DRUGGABLE GENOME
HSP90AA2 	heat shock protein 90kDa alpha (cytosolic), class A member 2 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
HSP90AA5P 	heat shock protein 90kDa alpha (cytosolic), class A member 5, pseudogene 	HopkinsGroom	DRUGGABLE GENOME
HSP90AB1 	heat shock protein 90kDa alpha (cytosolic), class B member 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
HSP90AB2P 	heat shock protein 90kDa alpha (cytosolic), class B member 2, pseudogene 	HopkinsGroom	DRUGGABLE GENOME
HSP90B1 	heat shock protein 90kDa beta (Grp94), member 1 	HopkinsGroom	DRUGGABLE GENOME
HSPA1B 	heat shock 70kDa protein 1B 	GO	TRANSCRIPTION FACTOR BINDING
HSPA2 	heat shock 70kDa protein 2 	GO	CELL SURFACE
HSPA5 	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) 	GO	CELL SURFACE
HSPA5 	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) 	GO, dGene	PROTEASE INHIBITOR
HSPA8 	heat shock 70kDa protein 8 	GO	CELL SURFACE
HSPA8 	heat shock 70kDa protein 8 	GO	TUMOR SUPPRESSOR
HSPA9 	heat shock 70kDa protein 9 (mortalin) 	GO	CELL SURFACE
HSPB1 	heat shock 27kDa protein 1 	GO	CELL SURFACE
HSPB8 	heat shock 22kDa protein 8 	dGene	SERINE THREONINE KINASE
HSPD1 	heat shock 60kDa protein 1 (chaperonin) 	GO	CELL SURFACE
HTR1A 	5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
HTR1A 	5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
HTR1B 	5-hydroxytryptamine (serotonin) receptor 1B, G protein-coupled 	GO	DRUG RESISTANCE
HTR1B 	5-hydroxytryptamine (serotonin) receptor 1B, G protein-coupled 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
HTR1B 	5-hydroxytryptamine (serotonin) receptor 1B, G protein-coupled 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
HTR1D 	5-hydroxytryptamine (serotonin) receptor 1D, G protein-coupled 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
HTR1D 	5-hydroxytryptamine (serotonin) receptor 1D, G protein-coupled 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
HTR1E 	5-hydroxytryptamine (serotonin) receptor 1E, G protein-coupled 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
HTR1E 	5-hydroxytryptamine (serotonin) receptor 1E, G protein-coupled 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
HTR1F 	5-hydroxytryptamine (serotonin) receptor 1F, G protein-coupled 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
HTR1F 	5-hydroxytryptamine (serotonin) receptor 1F, G protein-coupled 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
HTR2A 	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled 	GO	DRUG RESISTANCE
HTR2A 	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled 	GO	PHOSPHOLIPASE
HTR2A 	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
HTR2A 	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
HTR2B 	5-hydroxytryptamine (serotonin) receptor 2B, G protein-coupled 	GO	DRUG RESISTANCE
HTR2B 	5-hydroxytryptamine (serotonin) receptor 2B, G protein-coupled 	GO	ION CHANNEL
HTR2B 	5-hydroxytryptamine (serotonin) receptor 2B, G protein-coupled 	GO	PHOSPHOLIPASE
HTR2B 	5-hydroxytryptamine (serotonin) receptor 2B, G protein-coupled 	GO	TRANSPORTER
HTR2B 	5-hydroxytryptamine (serotonin) receptor 2B, G protein-coupled 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
HTR2B 	5-hydroxytryptamine (serotonin) receptor 2B, G protein-coupled 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
HTR2C 	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled 	GO	DRUG RESISTANCE
HTR2C 	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled 	GO	PHOSPHOLIPASE
HTR2C 	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
HTR2C 	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
HTR3A 	5-hydroxytryptamine (serotonin) receptor 3A, ionotropic 	GO	G PROTEIN COUPLED RECEPTOR
HTR3A 	5-hydroxytryptamine (serotonin) receptor 3A, ionotropic 	GO	TRANSPORTER
HTR3A 	5-hydroxytryptamine (serotonin) receptor 3A, ionotropic 	GO, HopkinsGroom	ION CHANNEL
HTR3A 	5-hydroxytryptamine (serotonin) receptor 3A, ionotropic 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
HTR3B 	5-hydroxytryptamine (serotonin) receptor 3B, ionotropic 	GO	G PROTEIN COUPLED RECEPTOR
HTR3B 	5-hydroxytryptamine (serotonin) receptor 3B, ionotropic 	GO	TRANSPORTER
HTR3B 	5-hydroxytryptamine (serotonin) receptor 3B, ionotropic 	GO, HopkinsGroom	ION CHANNEL
HTR3B 	5-hydroxytryptamine (serotonin) receptor 3B, ionotropic 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
HTR3C 	5-hydroxytryptamine (serotonin) receptor 3C, ionotropic 	GO	TRANSPORTER
HTR3C 	5-hydroxytryptamine (serotonin) receptor 3C, ionotropic 	GO, HopkinsGroom	ION CHANNEL
HTR3C 	5-hydroxytryptamine (serotonin) receptor 3C, ionotropic 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
HTR3D 	5-hydroxytryptamine (serotonin) receptor 3D, ionotropic 	GO	TRANSPORTER
HTR3D 	5-hydroxytryptamine (serotonin) receptor 3D, ionotropic 	GO, HopkinsGroom	ION CHANNEL
HTR3D 	5-hydroxytryptamine (serotonin) receptor 3D, ionotropic 	HopkinsGroom	DRUGGABLE GENOME
HTR3E 	5-hydroxytryptamine (serotonin) receptor 3E, ionotropic 	GO	TRANSPORTER
HTR3E 	5-hydroxytryptamine (serotonin) receptor 3E, ionotropic 	GO, HopkinsGroom	ION CHANNEL
HTR3E 	5-hydroxytryptamine (serotonin) receptor 3E, ionotropic 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
HTR4 	5-hydroxytryptamine (serotonin) receptor 4, G protein-coupled 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
HTR4 	5-hydroxytryptamine (serotonin) receptor 4, G protein-coupled 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
HTR5A 	5-hydroxytryptamine (serotonin) receptor 5A, G protein-coupled 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
HTR5A 	5-hydroxytryptamine (serotonin) receptor 5A, G protein-coupled 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
HTR5BP 	5-hydroxytryptamine (serotonin) receptor 5B, pseudogene 	RussLampel	DRUGGABLE GENOME
HTR6 	5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
HTR6 	5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
HTR7 	5-hydroxytryptamine (serotonin) receptor 7, adenylate cyclase-coupled 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
HTR7 	5-hydroxytryptamine (serotonin) receptor 7, adenylate cyclase-coupled 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
HTR7P1 	5-hydroxytryptamine (serotonin) receptor 7 pseudogene 1 	RussLampel	DRUGGABLE GENOME
HTRA1 	HtrA serine peptidase 1 	GO, dGene	PROTEASE
HTRA1 	HtrA serine peptidase 1 	RussLampel	DRUGGABLE GENOME
HTRA2 	HtrA serine peptidase 2 	GO	TUMOR SUPPRESSOR
HTRA2 	HtrA serine peptidase 2 	GO, HopkinsGroom, dGene	PROTEASE
HTRA2 	HtrA serine peptidase 2 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
HTRA3 	HtrA serine peptidase 3 	GO, dGene	PROTEASE
HTRA3 	HtrA serine peptidase 3 	RussLampel	DRUGGABLE GENOME
HTRA4 	HtrA serine peptidase 4 	GO, dGene	PROTEASE
HTRA4 	HtrA serine peptidase 4 	RussLampel	DRUGGABLE GENOME
HTT 	huntingtin 	GO	TRANSCRIPTION FACTOR BINDING
HUNK 	hormonally up-regulated Neu-associated kinase 	GO, HopkinsGroom	KINASE
HUNK 	hormonally up-regulated Neu-associated kinase 	GO, dGene	SERINE THREONINE KINASE
HUNK 	hormonally up-regulated Neu-associated kinase 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
HUS1 	HUS1 checkpoint homolog (S. pombe) 	GO	DNA REPAIR
HUS1 	HUS1 checkpoint homolog (S. pombe) 	GO	TUMOR SUPPRESSOR
HUWE1 	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase 	GO	DNA REPAIR
HUWE1 	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase 	GO	HISTONE MODIFICATION
HVCN1 	hydrogen voltage-gated channel 1 	GO	TRANSPORTER
HVCN1 	hydrogen voltage-gated channel 1 	GO, HopkinsGroom	ION CHANNEL
HVCN1 	hydrogen voltage-gated channel 1 	HopkinsGroom	DRUGGABLE GENOME
HYAL1 	hyaluronoglucosaminidase 1 	GO	TRANSCRIPTION FACTOR BINDING
HYAL1 	hyaluronoglucosaminidase 1 	GO	TUMOR SUPPRESSOR
HYAL2 	hyaluronoglucosaminidase 2 	GO	CELL SURFACE
HYAL2 	hyaluronoglucosaminidase 2 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
IAPP 	islet amyloid polypeptide 	GO	HORMONE ACTIVITY
IARS 	isoleucyl-tRNA synthetase 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
IARS2 	isoleucyl-tRNA synthetase 2, mitochondrial 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ICAM1 	intercellular adhesion molecule 1 	GO	CELL SURFACE
ICAM1 	intercellular adhesion molecule 1 	GO	DRUG RESISTANCE
ICAM1 	intercellular adhesion molecule 1 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
ICK 	intestinal cell (MAK-like) kinase 	GO, HopkinsGroom	KINASE
ICK 	intestinal cell (MAK-like) kinase 	GO, dGene	SERINE THREONINE KINASE
ICK 	intestinal cell (MAK-like) kinase 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ICOS 	inducible T-cell co-stimulator 	GO	CELL SURFACE
ICOS 	inducible T-cell co-stimulator 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
ICOSLG 	inducible T-cell co-stimulator ligand 	GO	CELL SURFACE
ICOSLG 	inducible T-cell co-stimulator ligand 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
ID2 	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein 	GO	TUMOR SUPPRESSOR
ID3 	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein 	GO	TRANSCRIPTION FACTOR BINDING
ID3 	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein 	GO	TUMOR SUPPRESSOR
ID4 	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein 	GO	TRANSCRIPTION FACTOR BINDING
IDE 	insulin-degrading enzyme 	GO	CELL SURFACE
IDE 	insulin-degrading enzyme 	GO, HopkinsGroom	NEUTRAL ZINC METALLOPEPTIDASE
IDE 	insulin-degrading enzyme 	GO, dGene	PROTEASE
IDE 	insulin-degrading enzyme 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
IDNK 	idnK, gluconokinase homolog (E. coli) 	GO	KINASE
IDS 	iduronate 2-sulfatase 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
IDSP1 	iduronate 2-sulfatase pseudogene 1 	RussLampel	DRUGGABLE GENOME
IFI16 	interferon, gamma-inducible protein 16 	GO	TRANSCRIPTION FACTOR BINDING
IFNG 	interferon, gamma 	GO	CELL SURFACE
IFNG 	interferon, gamma 	GO	DRUG RESISTANCE
IFNG 	interferon, gamma 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
IFNG 	interferon, gamma 	GO	TUMOR SUPPRESSOR
IFNW1 	interferon, omega 1 	GO	TUMOR SUPPRESSOR
IGF1 	insulin-like growth factor 1 (somatomedin C) 	GO	GROWTH FACTOR
IGF1 	insulin-like growth factor 1 (somatomedin C) 	GO	HORMONE ACTIVITY
IGF1 	insulin-like growth factor 1 (somatomedin C) 	GO	TUMOR SUPPRESSOR
IGF1R 	insulin-like growth factor 1 receptor 	GO, HopkinsGroom	KINASE
IGF1R 	insulin-like growth factor 1 receptor 	GO, dGene	TYROSINE KINASE
IGF1R 	insulin-like growth factor 1 receptor 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
IGF2 	insulin-like growth factor 2 (somatomedin A) 	GO	DRUG RESISTANCE
IGF2 	insulin-like growth factor 2 (somatomedin A) 	GO	GROWTH FACTOR
IGF2 	insulin-like growth factor 2 (somatomedin A) 	GO	HORMONE ACTIVITY
IGF2 	insulin-like growth factor 2 (somatomedin A) 	GO	TUMOR SUPPRESSOR
IGF2R 	insulin-like growth factor 2 receptor 	GO	CELL SURFACE
IGF2R 	insulin-like growth factor 2 receptor 	GO	KINASE
IGF2R 	insulin-like growth factor 2 receptor 	GO	TRANSPORTER
IGF2R 	insulin-like growth factor 2 receptor 	GO	TYROSINE KINASE
IGFBP2 	insulin-like growth factor binding protein 2, 36kDa 	GO	DRUG RESISTANCE
IGHEP1 	immunoglobulin heavy constant epsilon P1 (pseudogene) 	dGene	PROTEASE INHIBITOR
IGHEP2 	immunoglobulin heavy constant epsilon P2 (pseudogene) 	dGene	PROTEASE INHIBITOR
IGHMBP2 	immunoglobulin mu binding protein 2 	GO	DNA REPAIR
IGHMBP2 	immunoglobulin mu binding protein 2 	GO	TRANSCRIPTION FACTOR BINDING
IGSF5 	immunoglobulin superfamily, member 5 	GO	CELL SURFACE
IHH 	Indian hedgehog 	GO, dGene	PROTEASE
IKBKAP 	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein 	GO	KINASE
IKBKB 	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta 	GO	DRUG RESISTANCE
IKBKB 	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta 	GO	KINASE
IKBKB 	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta 	GO, dGene	SERINE THREONINE KINASE
IKBKB 	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta 	RussLampel	DRUGGABLE GENOME
IKBKE 	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon 	GO	KINASE
IKBKE 	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon 	GO, dGene	SERINE THREONINE KINASE
IKBKE 	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon 	RussLampel	DRUGGABLE GENOME
IL10 	interleukin 10 	GO	DRUG RESISTANCE
IL10 	interleukin 10 	GO	GROWTH FACTOR
IL11 	interleukin 11 	GO	GROWTH FACTOR
IL12A 	interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35) 	GO	GROWTH FACTOR
IL12A 	interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35) 	GO	TUMOR SUPPRESSOR
IL12B 	interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40) 	GO	GROWTH FACTOR
IL12B 	interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40) 	GO	TUMOR SUPPRESSOR
IL12RB1 	interleukin 12 receptor, beta 1 	GO	CELL SURFACE
IL12RB1 	interleukin 12 receptor, beta 1 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
IL13 	interleukin 13 	GO	CELL SURFACE
IL13 	interleukin 13 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
IL17A 	interleukin 17A 	GO	CELL SURFACE
IL17A 	interleukin 17A 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
IL17RB 	interleukin 17 receptor B 	GO	CELL SURFACE
IL1A 	interleukin 1, alpha 	GO	CELL SURFACE
IL1A 	interleukin 1, alpha 	GO	TUMOR SUPPRESSOR
IL1B 	interleukin 1, beta 	GO	DRUG RESISTANCE
IL1B 	interleukin 1, beta 	GO	GROWTH FACTOR
IL1B 	interleukin 1, beta 	GO	HISTONE MODIFICATION
IL1B 	interleukin 1, beta 	GO	TUMOR SUPPRESSOR
IL1R1 	interleukin 1 receptor, type I 	GO	CELL SURFACE
IL1RAPL1 	interleukin 1 receptor accessory protein-like 1 	GO	CELL SURFACE
IL1RL1 	interleukin 1 receptor-like 1 	GO	CELL SURFACE
IL1RL1 	interleukin 1 receptor-like 1 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
IL1RN 	interleukin 1 receptor antagonist 	GO	DRUG RESISTANCE
IL2 	interleukin 2 	GO	GROWTH FACTOR
IL2RB 	interleukin 2 receptor, beta 	GO	CELL SURFACE
IL2RB 	interleukin 2 receptor, beta 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
IL2RG 	interleukin 2 receptor, gamma 	GO	CELL SURFACE
IL2RG 	interleukin 2 receptor, gamma 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
IL3 	interleukin 3 (colony-stimulating factor, multiple) 	GO	GROWTH FACTOR
IL34 	interleukin 34 	GO	GROWTH FACTOR
IL4 	interleukin 4 	GO	CELL SURFACE
IL4 	interleukin 4 	GO	DRUG RESISTANCE
IL4 	interleukin 4 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
IL4 	interleukin 4 	GO	GROWTH FACTOR
IL4I1 	interleukin 4 induced 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
IL5 	interleukin 5 (colony-stimulating factor, eosinophil) 	GO	GROWTH FACTOR
IL6 	interleukin 6 (interferon, beta 2) 	GO	CELL SURFACE
IL6 	interleukin 6 (interferon, beta 2) 	GO	DRUG RESISTANCE
IL6 	interleukin 6 (interferon, beta 2) 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
IL6 	interleukin 6 (interferon, beta 2) 	GO	GROWTH FACTOR
IL6ST 	interleukin 6 signal transducer (gp130, oncostatin M receptor) 	GO	CELL SURFACE
IL6ST 	interleukin 6 signal transducer (gp130, oncostatin M receptor) 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
IL7 	interleukin 7 	GO	GROWTH FACTOR
IL7R 	interleukin 7 receptor 	GO	CELL SURFACE
IL7R 	interleukin 7 receptor 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
IL8 	interleukin 8 	GO	TUMOR SUPPRESSOR
IL9 	interleukin 9 	GO	GROWTH FACTOR
ILK 	integrin-linked kinase 	GO	TUMOR SUPPRESSOR
ILK 	integrin-linked kinase 	GO, HopkinsGroom	KINASE
ILK 	integrin-linked kinase 	GO, dGene	SERINE THREONINE KINASE
ILK 	integrin-linked kinase 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ILKAP 	integrin-linked kinase-associated serine/threonine phosphatase 	GO	PROTEIN PHOSPHATASE
ILKAP 	integrin-linked kinase-associated serine/threonine phosphatase 	GO	TUMOR SUPPRESSOR
IMMP1L 	IMP1 inner mitochondrial membrane peptidase-like (S. cerevisiae) 	GO, dGene	PROTEASE
IMMP2L 	IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae) 	GO, dGene	PROTEASE
IMPDH1 	IMP (inosine 5'-monophosphate) dehydrogenase 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
IMPDH2 	IMP (inosine 5'-monophosphate) dehydrogenase 2 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ING2 	inhibitor of growth family, member 2 	GO	TRANSCRIPTION FACTOR COMPLEX
ING3 	inhibitor of growth family, member 3 	GO	HISTONE MODIFICATION
ING4 	inhibitor of growth family, member 4 	GO	HISTONE MODIFICATION
ING4 	inhibitor of growth family, member 4 	GO	TUMOR SUPPRESSOR
ING5 	inhibitor of growth family, member 5 	GO	HISTONE MODIFICATION
INHA 	inhibin, alpha 	GO	GROWTH FACTOR
INHA 	inhibin, alpha 	GO	HORMONE ACTIVITY
INHA 	inhibin, alpha 	GO	TUMOR SUPPRESSOR
INHBA 	inhibin, beta A 	GO	GROWTH FACTOR
INHBA 	inhibin, beta A 	GO	HORMONE ACTIVITY
INHBA 	inhibin, beta A 	GO	TUMOR SUPPRESSOR
INHBB 	inhibin, beta B 	GO	GROWTH FACTOR
INHBB 	inhibin, beta B 	GO	HORMONE ACTIVITY
INHBC 	inhibin, beta C 	GO	GROWTH FACTOR
INHBC 	inhibin, beta C 	GO	HORMONE ACTIVITY
INHBE 	inhibin, beta E 	GO	GROWTH FACTOR
INHBE 	inhibin, beta E 	GO	HORMONE ACTIVITY
INIP 	INTS3 and NABP interacting protein 	GO	DNA REPAIR
INO80 	INO80 homolog (S. cerevisiae) 	GO	DNA REPAIR
INO80 	INO80 homolog (S. cerevisiae) 	GO	TUMOR SUPPRESSOR
INO80B 	INO80 complex subunit B 	GO	DNA REPAIR
INO80C 	INO80 complex subunit C 	GO	DNA REPAIR
INO80D 	INO80 complex subunit D 	GO	DNA REPAIR
INO80E 	INO80 complex subunit E 	GO	DNA REPAIR
INPP5A 	inositol polyphosphate-5-phosphatase, 40kDa 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
INPP5B 	inositol polyphosphate-5-phosphatase, 75kDa 	HopkinsGroom	DRUGGABLE GENOME
INPP5D 	inositol polyphosphate-5-phosphatase, 145kDa 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
INPP5E 	inositol polyphosphate-5-phosphatase, 72 kDa 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
INPP5J 	inositol polyphosphate-5-phosphatase J 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
INPP5K 	inositol polyphosphate-5-phosphatase K 	GO	G PROTEIN COUPLED RECEPTOR
INPP5K 	inositol polyphosphate-5-phosphatase K 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
INPPL1 	inositol polyphosphate phosphatase-like 1 	GO	DRUG RESISTANCE
INPPL1 	inositol polyphosphate phosphatase-like 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
INS 	insulin 	GO	HORMONE ACTIVITY
INS 	insulin 	GO	TUMOR SUPPRESSOR
INS-IGF2 	INS-IGF2 readthrough 	GO	HORMONE ACTIVITY
INSIG2 	insulin induced gene 2 	GO	TRANSCRIPTION FACTOR BINDING
INSL3 	insulin-like 3 (Leydig cell) 	GO	HORMONE ACTIVITY
INSL3 	insulin-like 3 (Leydig cell) 	RussLampel	DRUGGABLE GENOME
INSL4 	insulin-like 4 (placenta) 	GO	HORMONE ACTIVITY
INSL5 	insulin-like 5 	GO	HORMONE ACTIVITY
INSL6 	insulin-like 6 	GO	HORMONE ACTIVITY
INSR 	insulin receptor 	GO	TUMOR SUPPRESSOR
INSR 	insulin receptor 	GO, HopkinsGroom	KINASE
INSR 	insulin receptor 	GO, dGene	TYROSINE KINASE
INSR 	insulin receptor 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
INSRR 	insulin receptor-related receptor 	GO, HopkinsGroom	KINASE
INSRR 	insulin receptor-related receptor 	GO, dGene	TYROSINE KINASE
INSRR 	insulin receptor-related receptor 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
INTS3 	integrator complex subunit 3 	GO	DNA REPAIR
INTS3 	integrator complex subunit 3 	GO	TUMOR SUPPRESSOR
INTS7 	integrator complex subunit 7 	GO	TUMOR SUPPRESSOR
INTU 	inturned planar cell polarity effector homolog (Drosophila) 	GO	CELL SURFACE
IP6K1 	inositol hexakisphosphate kinase 1 	GO	KINASE
IP6K2 	inositol hexakisphosphate kinase 2 	GO	KINASE
IP6K3 	inositol hexakisphosphate kinase 3 	GO	KINASE
IPCEF1 	interaction protein for cytohesin exchange factors 1 	GO	TRANSPORTER
IPMK 	inositol polyphosphate multikinase 	GO	KINASE
IPO11 	importin 11 	GO	TRANSPORTER
IPO13 	importin 13 	GO	TRANSPORTER
IPO4 	importin 4 	GO	TRANSPORTER
IPO5 	importin 5 	GO	TRANSPORTER
IPO7 	importin 7 	GO	TRANSPORTER
IPO8 	importin 8 	GO	TRANSPORTER
IPO9 	importin 9 	GO	TRANSPORTER
IPPK 	inositol 1,3,4,5,6-pentakisphosphate 2-kinase 	GO	KINASE
IRAK1 	interleukin-1 receptor-associated kinase 1 	GO	KINASE
IRAK1 	interleukin-1 receptor-associated kinase 1 	GO, dGene	SERINE THREONINE KINASE
IRAK1 	interleukin-1 receptor-associated kinase 1 	RussLampel	DRUGGABLE GENOME
IRAK2 	interleukin-1 receptor-associated kinase 2 	GO	CELL SURFACE
IRAK2 	interleukin-1 receptor-associated kinase 2 	GO	KINASE
IRAK2 	interleukin-1 receptor-associated kinase 2 	RussLampel	DRUGGABLE GENOME
IRAK2 	interleukin-1 receptor-associated kinase 2 	dGene	SERINE THREONINE KINASE
IRAK3 	interleukin-1 receptor-associated kinase 3 	GO	KINASE
IRAK3 	interleukin-1 receptor-associated kinase 3 	GO, dGene	SERINE THREONINE KINASE
IRAK3 	interleukin-1 receptor-associated kinase 3 	RussLampel	DRUGGABLE GENOME
IRAK4 	interleukin-1 receptor-associated kinase 4 	GO	KINASE
IRAK4 	interleukin-1 receptor-associated kinase 4 	GO, dGene	SERINE THREONINE KINASE
IRAK4 	interleukin-1 receptor-associated kinase 4 	RussLampel	DRUGGABLE GENOME
IRF1 	interferon regulatory factor 1 	GO	TUMOR SUPPRESSOR
IRF4 	interferon regulatory factor 4 	GO	HISTONE MODIFICATION
IRF4 	interferon regulatory factor 4 	GO	TRANSCRIPTION FACTOR BINDING
IRF6 	interferon regulatory factor 6 	GO	TUMOR SUPPRESSOR
IRS1 	insulin receptor substrate 1 	GO	KINASE
IRS1 	insulin receptor substrate 1 	GO	TYROSINE KINASE
ISL1 	ISL LIM homeobox 1 	GO	TRANSCRIPTION FACTOR BINDING
ISLR2 	immunoglobulin superfamily containing leucine-rich repeat 2 	GO	CELL SURFACE
